id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Steve,Bisciotti,70,N/A,Ownership,Owner/Chairman,22
S002,Sashi,Brown,51,N/A,Front Office/Executive,President,7
S003,Eric,DeCosta,55,N/A,Football Operations,Executive Vice President & General Manager,30
S004,Dick,Cass,80,N/A,Front Office/Executive,President Emeritus,22
S005,Ozzie,Newsome,70,N/A,Football Operations,Executive Vice President,35
S006,George,Kokinis,52,N/A,Scouting,Vice President of Player Personnel,5
S007,Nick,Matteo,44,N/A,Football Operations,Vice President of Football Operations,15
S008,Chad,Steele,50,N/A,Media Relations,Senior Vice President of Communications,25
S009,Andrew,Tucker,65,N/A,Medical/Athletic Training,Chief Medical Officer,25
S010,Adrian,Dixon,45,N/A,Medical/Athletic Training,Head Certified Athletic Trainer,10
S011,Scott,Elliott,48,N/A,Strength & Conditioning,Director of Strength & Conditioning,12
S012,Ross,Luciano,50,N/A,Security,Vice President of Security,15
S013,Kevin,Rochlitz,55,N/A,Business Operations,Senior Vice President/Chief Sales Officer,20
S014,Jeff,Goering,52,N/A,Business Operations,Senior Vice President/Chief Financial Officer,18
S015,Elizabeth,Mearman,47,N/A,Human Resources,Senior Vice President of People Culture & Inclusion,10
S016,Kenico,Hines,46,N/A,Equipment,Head Equipment Manager,14
S017,Moon,Javaid,45,N/A,Business Operations,Chief Growth & Innovation Officer,6
S018,Cody,Williams,38,N/A,Analytics,Vice President of Strategy & Analytics,6
S019,Mark,Azevedo,42,N/A,Scouting,Director of Player Personnel,10
S020,Joey,Cleary,40,N/A,Scouting,Director of College Scouting,8
S021,Rich,Tamayo,55,N/A,Stadium Operations,Senior Vice President of Stadium Operations,20
