key,value
Team Name,Carolina Panthers
City,"Charlotte, North Carolina"
Home Stadium,Bank of America Stadium
Founded,1993
Conference,NFC
Division,South
Owner,David Tepper
President,Kristi Coleman
General Manager,Dan Morgan
Head Coach,Dave Canales
Primary Colors,"Panther Blue, Black, Silver"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from panthers.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against panthers.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
