id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Jordan,Love,27,N/A,10,QB,Utah State,7,Active,6-4,219
P002,Kyle,McCord,23,N/A,18,QB,Syracuse,1,Active,6-3,218
P003,Tyrod,Taylor,37,N/A,6,QB,Virginia Tech,16,Active,6-1,217
P004,Chris,Brooks,26,N/A,30,RB,BYU,4,Active,6-1,219
P005,Josh,Jacobs,28,N/A,8,RB,Alabama,8,Active,5-10,223
P006,MarShawn,Lloyd,25,N/A,32,RB,USC,3,Active,5-9,220
P007,Damien,Martinez,22,N/A,26,RB,Miami,1,Active,6-0,217
P008,Jaden,Nixon,23,N/A,35,RB,UCF,0,Active,5-10,199
P009,Pierre,Strong Jr.,27,N/A,22,RB,South Dakota State,4,Active,5-11,207
P010,Matthew,Golden,23,N/A,0,WR,Texas,2,Active,5-11,191
P011,Chris,Hilton Jr.,23,N/A,37,WR,LSU,0,Active,6-0,188
P012,Kisean,Johnson,24,N/A,86,WR,Western Kentucky,0,Active,6-0,216
P013,Bo,Melton,27,N/A,16,WR,Rutgers,3,Active,5-11,189
P014,Skyy,Moore,25,N/A,23,WR,Western Michigan,5,Active,5-10,195
P015,Isaiah,Neyor,25,N/A,80,WR,Nebraska,1,Active,6-4,218
P016,Kaden,Prather,23,N/A,89,WR,Maryland,1,Active,6-3,204
P017,Jayden,Reed,26,N/A,11,WR,Michigan State,4,Active,5-11,187
P018,Will,Sheppard,24,N/A,82,WR,Colorado,1,Active,6-3,196
P019,J. Michael,Sturdivant,23,N/A,87,WR,Florida,0,Active,6-3,207
P020,Christian,Watson,27,N/A,9,WR,North Dakota State,5,Active,6-4,215
P021,Savion,Williams,24,N/A,83,WR,TCU,2,Active,6-4,222
P022,McCallan,Castles,26,N/A,47,TE,Tennessee,1,Active,6-4,244
P023,Drake,Dabney,24,N/A,49,TE,TCU,1,Active,6-5,246
P024,Tucker,Kraft,25,N/A,85,TE,South Dakota State,4,Active,6-5,259
P025,Luke,Musgrave,25,N/A,88,TE,Oregon State,4,Active,6-6,253
P026,Jonnu,Smith,31,N/A,12,TE,Florida International,9,Active,6-3,248
P027,Messiah,Swinson,26,N/A,43,TE,Arizona State,1,Active,6-7,259
P028,Josh,Whyle,26,N/A,81,TE,Cincinnati,4,Active,6-7,248
P029,Thomas,Yassmin,26,N/A,84,TE,Utah,1,Active,6-4,245
P030,Jager,Burton,24,N/A,52,C,Kentucky,0,Active,6-4,312
P031,Jacob,Monk,25,N/A,62,C,Duke,3,Active,6-3,308
P032,Aaron,Banks,28,N/A,65,OG,Notre Dame,6,Active,6-5,325
P033,Dylan,Barrett,23,N/A,74,OG,Iowa State,0,Active,6-5,326
P034,Josh,Gesky,23,N/A,76,OG,Illinois,0,Active,6-5,308
P035,Donovan,Jennings,26,N/A,67,OG,South Florida,2,Active,6-4,323
P036,Jordan,Morgan,25,N/A,77,OG,Arizona,3,Active,6-5,311
P037,Sean,Rhyan,25,N/A,75,OG,UCLA,5,Active,6-5,321
P038,Dillon,Wade,24,N/A,68,OG,Auburn,0,Active,6-3,316
P039,John,Williams,24,N/A,73,OG,Cincinnati,2,Active,6-5,280
P040,Zach,Bako-Bewele,27,N/A,50,OT,Wake Forest,5,Active,6-4,304
P041,Brant,Banks,26,N/A,72,OT,Rice,1,Active,6-7,306
P042,Anthony,Belton,25,N/A,71,OT,NC State,2,Active,6-6,336
P043,Dalton,Cooper,25,N/A,78,OT,Oklahoma State,1,Active,6-6,326
P044,Travis,Glover,26,N/A,79,OT,Georgia State,3,Active,6-6,317
P045,Darian,Kinnard,26,N/A,70,OT,Kentucky,4,Active,6-5,322
P046,Brenton,Cox Jr.,26,N/A,57,DE,Florida,4,Active,6-4,250
P047,Dani,Dennis-Sutton,22,N/A,51,DE,Penn State,0,Active,6-5,256
P048,Nyjalik,Kelly,21,N/A,47,DE,UCF,0,Active,6-5,263
P049,Arron,Mosby,27,N/A,53,DE,Fresno State,4,Active,6-3,250
P050,Collin,Oliver,23,N/A,45,DE,Oklahoma State,2,Active,6-2,240
P051,Micah,Parsons,27,N/A,1,DE,Penn State,6,Active,6-3,250
P052,Barryn,Sorrell,23,N/A,99,DE,Texas,2,Active,6-3,256
P053,Lukas,Van Ness,25,N/A,90,DE,Iowa,4,Active,6-5,272
P054,Warren,Brinson,24,N/A,91,DT,Georgia,2,Active,6-5,315
P055,Karl,Brooks,26,N/A,94,DT,Bowling Green,4,Active,6-3,296
P056,Anthony,Campbell,25,N/A,60,DT,Miami,1,Active,6-6,307
P057,Jaden,Crumedy,26,N/A,63,DT,Mississippi State,3,Active,6-4,301
P058,Jonathan,Ford,27,N/A,64,DT,Miami,4,Active,6-5,338
P059,Javon,Hargrave,33,N/A,98,DT,South Carolina State,11,Active,6-2,307
P060,Chris,McClellan,22,N/A,55,DT,Missouri,0,Active,6-4,313
P061,Jordon,Riley,28,N/A,97,DT,Oregon,3,Active,6-5,338
P062,Nazir,Stackhouse,24,N/A,93,DT,Georgia,2,Active,6-4,327
P063,Devonte,Wyatt,28,N/A,95,DT,Georgia,5,Active,6-3,304
P064,Edgerrin,Cooper,24,N/A,56,LB,Texas A&M,3,Active,6-2,229
P065,Zaire,Franklin,30,N/A,44,LB,Syracuse,9,Active,6-0,235
P066,Ty'Ron,Hopper,25,N/A,59,LB,Missouri,3,Active,6-2,228
P067,Isaiah,McDuffie,27,N/A,58,LB,Boston College,6,Active,6-1,227
P068,Nick,Niemann,28,N/A,31,LB,Iowa,6,Active,6-3,234
P069,TJ,Quinn,23,N/A,40,LB,Louisville,0,Active,6-0,225
P070,Arden,Walker,23,N/A,5,LB,Colorado,0,Active,6-2,250
P071,Kristian,Welch,28,N/A,54,LB,Iowa,7,Active,6-3,240
P072,Shemar,Bartholomew,26,N/A,34,CB,Georgia Southern,2,Active,6-0,200
P073,Brandon,Cisse,21,N/A,2,CB,South Carolina,0,Active,6-0,189
P074,MJ,Devonshire Jr.,25,N/A,28,CB,Pittsburgh,1,Active,5-11,186
P075,Kamal,Hadden,25,N/A,36,CB,Tennessee,2,Active,6-1,192
P076,Domani,Jackson,23,N/A,20,CB,Alabama,0,Active,6-0,194
P077,Keisean,Nixon,29,N/A,25,CB,South Carolina,8,Active,5-10,200
P078,Benjamin,St-Juste,28,N/A,21,CB,Minnesota,6,Active,6-3,200
P079,Carrington,Valentine,24,N/A,24,CB,Kentucky,4,Active,6-0,189
P080,Javon,Bullard,23,N/A,7,S,Georgia,3,Active,5-10,198
P081,Trey,Dean III,26,N/A,35,S,Florida,1,Active,6-2,201
P082,Tra,Fluellen,25,N/A,48,S,Middle Tennessee,1,Active,6-0,212
P083,Murvin,Kenion III,25,N/A,39,S,Nevada,0,Active,5-11,200
P084,Xavier,McKinney,27,N/A,29,S,Alabama,7,Active,6-0,201
P085,Kitan,Oladapo,25,N/A,27,S,Oregon State,3,Active,6-2,216
P086,Mark,Perry,25,N/A,41,S,TCU,1,Active,6-0,211
P087,Jaylin,Simpson,26,N/A,38,S,Auburn,1,Active,6-0,180
P088,Evan,Williams,25,N/A,33,S,Oregon,3,Active,5-11,200
P089,Trey,Smack,23,N/A,28,K,Florida,0,Active,6-1,188
P090,Daniel,Whelan,27,N/A,19,P,UC Davis,4,Active,6-5,216
P091,Cal,Adomitis,28,N/A,43,LS,Pittsburgh,5,Active,6-2,235
P092,Matt,Orzech,31,N/A,42,LS,Azusa Pacific,7,Active,6-3,245
P093,Marlon,Jones,25,N/A,46,CB,Vanderbilt,0,Injured Reserve,6-0,190
P094,Johnathan,Baldwin II,23,N/A,37,S,UNLV,1,Injured Reserve,6-0,190
