id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Ed,Policy,55,N/A,Front Office/Executive,Chairman of the Board President & Chief Executive Officer,14
S002,Brian,Gutekunst,52,N/A,Football Operations,General Manager,8
S003,Russ,Ball,60,N/A,Football Operations,Executive Vice President/Director of Football Operations,20
S004,Mark,Murphy,70,N/A,Front Office/Executive,Chairman Emeritus,18
S005,Craig,Benzel,50,N/A,Business Operations,Chief Sales & Business Development Officer,10
S006,Doug,Collins,52,N/A,Security,Chief Security & Facilities Officer,10
S007,Gabrielle,Valdez Dow,42,N/A,Marketing,Chief Marketing Officer,4
S008,Nicole,Ledvina,45,N/A,Human Resources,Chief Human Resources Officer,8
S009,Kevin,Manara,50,N/A,Front Office/Executive,Chief Legal Officer,12
S010,Maureen,Smith,48,N/A,Business Operations,Chief Financial Officer,8
S011,Jason,Wahlers,44,N/A,Media Relations,Chief Communications Officer,15
S012,David,Brooker,45,N/A,Front Office/Executive,Chief of Staff,8
S013,Bryan,Engel,42,N/A,Medical/Athletic Training,Vice President of Player Health and Performance,6
S014,Milt,Hendrickson,50,N/A,Scouting,Vice President of Player Personnel,15
S015,Lisa,Kaiser,40,N/A,Front Office/Executive,Executive Assistant to the President,10
S016,Mari,Massonet,38,N/A,Business Operations,Executive Assistant of Finance,6
S017,Katie,McCormick-Vanderlin,36,N/A,Marketing,Executive Assistant - Marketing & Corporate Leadership,5
S018,Marissa,Meli,34,N/A,Front Office/Executive,Associate General Counsel,5
S019,Kelly,Baker,32,N/A,Front Office/Executive,Associate Counsel,3
S020,Nicole,Ross,29,N/A,Front Office/Executive,Paralegal,3
