id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Ameer,Abdullah,33,N/A,43,RB,Nebraska,11,Active,5-9,203
P002,Yasir,Abdullah,26,N/A,56,LB,Louisville,3,Active,6-1,240
P003,Joey,Aguilar,25,N/A,17,QB,Tennessee,0,Active,6-3,225
P004,Tommy,Akingbesote,23,N/A,47,DT,Maryland,0,Active,6-4,316
P005,LeQuint,Allen Jr.,22,N/A,5,RB,Syracuse,1,Active,6-0,201
P006,Arik,Armstead,32,N/A,91,DT,Oregon,11,Active,6-7,290
P007,Corey,Ballentine,30,N/A,38,CB,Washburn,7,Active,6-0,191
P008,Nate,Boerkircher,24,N/A,87,TE,Texas A&M,0,Active,6-5,250
P009,T.J.,Bollers,23,N/A,94,DT,California,0,Active,6-2,305
P010,Brady,Boyd,24,N/A,49,WR,Utah State,0,Active,6-1,195
P011,Carter,Bradley,26,N/A,10,QB,South Alabama,0,Active,6-3,221
P012,Christian,Braswell,26,N/A,21,CB,Rutgers,2,Active,5-11,185
P013,Chandler,Brayboy,25,N/A,15,WR,Elon,0,Active,6-1,199
P014,Montaric,Brown,27,N/A,1,CB,Arkansas,4,Active,6-0,190
P015,Amari,Burney,26,N/A,49,LB,Florida,2,Active,6-2,228
P016,Josh,Cameron,23,N/A,19,WR,Baylor,0,Active,6-1,224
P017,Jerome,Carvin,25,N/A,79,C,Tennessee,0,Active,6-5,307
P018,Geron,Christian Sr.,29,N/A,61,OT,Louisville,8,Active,6-6,315
P019,Ezra,Cleveland,28,N/A,76,OG,Boise State,6,Active,6-6,312
P020,Branson,Combs,26,N/A,50,LB,Wake Forest,1,Active,6-3,228
P021,Logan,Cooke,31,N/A,9,P,Mississippi State,8,Active,6-5,230
P022,DeeJay,Dallas,27,N/A,20,RB,Miami,6,Active,5-10,225
P023,Matt,Dickerson,30,N/A,93,DT,UCLA,5,Active,6-5,300
P024,Quindarius,Dunnigan,25,N/A,59,DE,Michigan State,0,Active,6-4,257
P025,Zach,Durfee,24,N/A,58,DE,Washington,0,Active,6-5,258
P026,Chuma,Edoga,29,N/A,55,OG,USC,7,Active,6-4,315
P027,Daniel,Faalele,26,N/A,68,OG,Minnesota,4,Active,6-8,380
P028,Dennis,Gardeck,32,N/A,47,LB,Sioux Falls,8,Active,6-0,232
P029,B.J.,Green II,23,N/A,95,DE,Colorado,1,Active,6-1,270
P030,Robert,Hainsey,28,N/A,73,C,Notre Dame,5,Active,6-4,306
P031,DaVon,Hamilton,29,N/A,52,DT,Ohio State,6,Active,6-4,335
P032,Anton,Harrison,24,N/A,77,OT,Oklahoma,3,Active,6-4,315
P033,Patrick,Herbert,25,N/A,88,TE,Oregon,0,Active,6-5,255
P034,Josh,Hines-Allen,29,N/A,41,DE,Kentucky,7,Active,6-5,255
P035,Preston,Hodge,23,N/A,26,CB,Colorado,0,Active,6-0,200
P036,Jalen,Hunt,25,N/A,96,DT,Cincinnati,0,Active,6-2,315
P037,Travis,Hunter,23,N/A,12,WR,Colorado,1,Active,6-1,185
P038,Jalen,Huskey,23,N/A,22,S,Maryland,0,Active,6-1,201
P039,Antonio,Johnson,24,N/A,6,S,Texas A&M,3,Active,6-2,198
P040,Jarrian,Jones,25,N/A,4,CB,Florida State,2,Active,5-11,190
P041,Tim,Jones,28,N/A,13,WR,Southern Mississippi,3,Active,6-1,200
P042,Jack,Kiser,25,N/A,54,LB,Notre Dame,1,Active,6-2,231
