key,value
Team Name,New York Giants
City,"East Rutherford, New Jersey"
Home Stadium,MetLife Stadium
Founded,1925
Conference,NFC
Division,East
Owner,John Mara & Steve Tisch
President,John Mara
General Manager,Joe Schoen
Head Coach,John Harbaugh
Primary Colors,"Giants Blue, Red, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
