id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Drew,Allar,22,N/A,16,QB,Penn State,0,Active,6-5,228
P002,Will,Howard,24,N/A,18,QB,Ohio State,2,Active,6-4,236
P003,Aaron,Rodgers,42,N/A,8,QB,California,22,Active,6-2,223
P004,Mason,Rudolph,31,N/A,2,QB,Oklahoma State,9,Active,6-5,235
P005,Rico,Dowdle,28,N/A,13,RB,South Carolina,7,Active,5-11,215
P006,Eli,Heidenreich,23,N/A,29,RB,Navy,0,Active,6-0,198
P007,Travis,Homer,28,N/A,21,RB,Miami,8,Active,5-10,202
P008,Max,Hurleman,24,N/A,84,RB,Notre Dame,1,Active,5-11,200
P009,Kaleb,Johnson,23,N/A,20,RB,Iowa,2,Active,6-1,224
P010,Lew,Nichols,25,N/A,35,RB,Central Michigan,1,Active,5-10,220
P011,Jaylen,Warren,27,N/A,30,RB,Oklahoma State,5,Active,5-8,215
P012,Riley,Nowakowski,24,N/A,37,FB,Indiana,0,Active,6-2,250
P013,Germie,Bernard,22,N/A,17,WR,Alabama,0,Active,6-1,206
P014,DK,Metcalf,28,N/A,4,WR,Ole Miss,8,Active,6-4,229
P015,Michael,Pittman Jr.,28,N/A,11,WR,USC,7,Active,6-4,223
P016,Ben,Skowronek,29,N/A,15,WR,Notre Dame,6,Active,6-3,224
P017,Brandon,Smith,27,N/A,87,WR,Iowa,1,Active,6-2,220
P018,Levi,Wentz,24,N/A,28,WR,Kansas,0,Active,6-2,205
P019,Kaden,Wetjen,24,N/A,10,WR,Iowa,0,Active,5-9,196
P020,Roman,Wilson,25,N/A,14,WR,Michigan,3,Active,5-10,186
P021,Pat,Freiermuth,27,N/A,88,TE,Penn State,6,Active,6-5,258
P022,Lance,Mason,22,N/A,45,TE,Wisconsin,0,Active,6-3,243
P023,Lake,McRee,23,N/A,81,TE,USC,0,Active,6-4,243
P024,Robert,Tonyan,32,N/A,83,TE,Indiana State,8,Active,6-5,240
P025,Darnell,Washington,25,N/A,80,TE,Georgia,4,Active,6-7,264
P026,Zach,Frazier,24,N/A,54,C,West Virginia,3,Active,6-3,310
P027,Brock,Hoffman,27,N/A,67,C,Virginia Tech,5,Active,6-4,302
P028,Ryan,McCollum,28,N/A,62,C,Texas A&M,4,Active,6-5,300
P029,Spencer,Anderson,26,N/A,74,OG,Maryland,4,Active,6-5,305
P030,Gennings,Dunker,23,N/A,73,OG,Iowa,0,Active,6-5,319
P031,Steven,Jones,25,N/A,79,OG,Oregon,1,Active,6-5,340
P032,Mason,McCormick,26,N/A,66,OG,South Dakota State,3,Active,6-5,315
P033,Doug,Nester,26,N/A,72,OG,West Virginia,1,Active,6-6,306
P034,Dylan,Cook,28,N/A,60,OT,Montana,3,Active,6-6,305
P035,Jack,Driscoll,29,N/A,68,OT,Auburn,6,Active,6-5,312
P036,Troy,Fautanu,25,N/A,76,OT,Washington,3,Active,6-4,317
