id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,Todd,Bowles,62,N/A,Head Coach,Administration,7,30
C002,Zac,Robinson,40,N/A,Offensive Coordinator,Offense,1,10
C003,Ken,Zampese,58,N/A,Senior Offensive Assistant/Pass Game Specialist,Offense,2,30
C004,George,Edwards,58,N/A,Defensive Pass Game Coordinator,Defense,2,28
C005,T.J.,Yates,38,N/A,Offensive Passing Game Coordinator,Offense,2,6
C006,Danny,Smith,68,N/A,Special Teams Coordinator,Special Teams,3,35
C007,Luke,Smith,32,N/A,Assistant Special Teams Coach,Special Teams,2,6
C008,Kevin,Carberry,45,N/A,Run Game Coordinator/Offensive Line Coach,Offense,3,15
C009,Andrew,Mitchell,33,N/A,Assistant Offensive Line Coach,Offense,2,7
C010,Bryan,McClendon,40,N/A,Wide Receivers Coach,Offense,4,12
C011,Justin,Peelle,45,N/A,Tight Ends Coach,Offense,5,12
C012,Jeff,Kastl,33,N/A,Assistant Tight Ends Coach,Offense,2,6
C013,Skip,Peete,62,N/A,Running Backs Coach,Offense,6,30
C014,Chandler,Whitmer,35,N/A,Quarterbacks Coach,Offense,3,8
C015,Blaine,Stewart,28,N/A,Offensive Quality Control Coach,Offense,1,3
C016,Larry,Foote,47,N/A,Run Game Coordinator/Outside Linebackers Coach,Defense,4,12
C017,Marcus,West,45,N/A,Defensive Line Coach,Defense,3,15
C018,Mike,Caldwell,52,N/A,Inside Linebackers Coach,Defense,5,20
C019,Rashad,Johnson,38,N/A,Cornerbacks Coach,Defense,4,8
C020,Tim,Atkins,40,N/A,Safeties Coach,Defense,3,10
C021,Todd,Bowles Jr.,30,N/A,Defensive Assistant,Defense,2,4
C022,Joey,Fitzgerald,28,N/A,Defensive Quality Control Coach,Defense,1,3
C023,Chad,Wade,48,N/A,Head Strength and Conditioning Coach,Strength & Conditioning,5,20
C024,Cory,Bichey,32,N/A,Assistant Strength & Conditioning Coach,Strength & Conditioning,2,7
C025,Deandre,Ward Sr.,35,N/A,Assistant Strength & Conditioning Coach,Strength & Conditioning,2,8
C026,Sarah,Evans,33,N/A,Senior Manager of Coaching Operations,Administration,3,7
