id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Tony,Adams,27,N/A,38,S,Illinois,4,Active,5-11,210
P002,Elic,Ayomanor,23,N/A,5,WR,Stanford,1,Active,6-2,206
P003,Cody,Barton,29,N/A,50,LB,Utah,7,Active,6-2,237
P004,Hank,Beatty,22,N/A,13,WR,Illinois,0,Active,5-10,179
P005,Daniel,Bellinger,25,N/A,82,TE,San Diego State,4,Active,6-6,255
P006,Kendell,Brooks,26,N/A,30,S,Michigan State,1,Active,6-0,206
P007,Earnest,Brown IV,27,N/A,99,DE,Northwestern,2,Active,6-5,295
P008,Keydrain,Calligan,24,N/A,29,CB,Southeastern Louisiana,0,Active,6-0,200
P009,Derrick,Canteen,25,N/A,42,CB,Cincinnati,0,Active,5-10,193
P010,Fernando,Carmona Jr.,24,N/A,66,OG,Arkansas,0,Active,6-5,316
P011,Reid,Carrico,24,N/A,47,LB,West Virginia,0,Active,6-2,226
P012,Michael,Carter,27,N/A,35,RB,North Carolina,4,Active,5-8,201
P013,Julius,Chestnut,25,N/A,36,RB,Sacred Heart,4,Active,5-11,228
P014,Pat,Coogan,23,N/A,79,C,Indiana,0,Active,6-5,310
P015,Morgan,Cox,40,N/A,46,LS,Tennessee,16,Active,6-4,233
P016,Brandon,Crenshaw-Dickson,25,N/A,78,OT,Florida,1,Active,6-7,316
P017,Austin,Deculus,27,N/A,76,OT,LSU,3,Active,6-5,330
P018,Garrett,Dellinger,24,N/A,71,OG,LSU,0,Active,6-5,330
P019,Mohamoud,Diabate,25,N/A,44,LB,Utah,3,Active,6-4,235
P020,Chimere,Dike,23,N/A,17,WR,Florida,1,Active,6-1,196
P021,Jordan,Elliott,28,N/A,95,DT,Missouri,6,Active,6-4,325
P022,Keldric,Faulk,21,N/A,15,DE,Auburn,0,Active,6-6,274
P023,Bishop,Fitzgerald,23,N/A,31,S,USC,0,Active,5-11,201
P024,Cor'Dale,Flott,25,N/A,18,CB,LSU,4,Active,6-2,175
P025,John,Franklin-Myers,29,N/A,91,DE,Stephen F. Austin,8,Active,6-4,288
P026,Mario,Goodrich III,26,N/A,35,CB,Clemson,1,Active,6-0,186
P027,Kylen,Granson,28,N/A,86,TE,Southern Methodist,5,Active,6-3,242
P028,Cedric,Gray,23,N/A,33,LB,North Carolina,2,Active,6-2,240
