id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Michael,Penix Jr.,26,N/A,9,QB,Washington,3,Active,6-3,220
P002,Cooper,Rush,32,N/A,13,QB,Central Michigan,9,Active,6-3,224
P003,Jack,Strand,22,N/A,18,QB,Minnesota State-Moorhead,0,Active,6-5,240
P004,Tua,Tagovailoa,28,N/A,1,QB,Alabama,7,Active,6-1,225
P005,Nathan,Carter,24,N/A,38,RB,Michigan State,2,Active,5-10,202
P006,Tyler,Goodson,25,N/A,25,RB,Iowa,4,Active,5-9,197
P007,Cash,Jones,26,N/A,32,RB,Georgia,0,Active,5-11,195
P008,Bijan,Robinson,24,N/A,7,RB,Texas,4,Active,5-11,215
P009,Brian,Robinson Jr.,27,N/A,15,RB,Alabama,3,Active,6-1,225
P010,Vinny,Anthony II,23,N/A,86,WR,Wisconsin,0,Active,6-0,190
P011,Chris,Blair,28,N/A,19,WR,Alcorn State,2,Active,6-2,215
P012,Zachariah,Branch,22,N/A,17,WR,Georgia,0,Active,5-10,180
P013,Beaux,Collins,23,N/A,88,WR,Notre Dame,2,Active,6-3,206
P014,Jahan,Dotson,26,N/A,4,WR,Penn State,5,Active,5-11,184
P015,Dylan,Drummond,26,N/A,80,WR,Eastern Michigan,2,Active,6-0,190
P016,Drake,London,25,N/A,5,WR,USC,5,Active,6-4,215
P017,Keelan,Marion,26,N/A,85,WR,Miami,0,Active,6-0,195
P018,Antwane,Wells Jr.,25,N/A,82,WR,Ole Miss,1,Active,6-0,205
P019,Olamide,Zaccheaus,29,N/A,14,WR,Virginia,8,Active,5-8,194
P020,Austin,Hooper,31,N/A,81,TE,Stanford,11,Active,6-4,254
P021,Nick,Muse,27,N/A,87,TE,South Carolina,3,Active,6-5,252
P022,Kyle,Pitts Sr.,25,N/A,8,TE,Florida,6,Active,6-6,250
P023,Joshua,Simon,25,N/A,47,TE,South Carolina,1,Active,6-4,240
P024,Jack,Velling,22,N/A,84,TE,Michigan State,0,Active,6-5,245
P025,Charlie,Woerner,28,N/A,89,TE,Georgia,7,Active,6-5,250
P026,James,Brockermeyer,24,N/A,66,C,Miami,0,Active,6-3,295
P027,Ryan,Neuzil,29,N/A,64,C,Appalachian State,5,Active,6-3,305
P028,Matthew,Bergeron,26,N/A,65,OG,Syracuse,4,Active,6-5,315
P029,Kam,Dewberry,22,N/A,61,OG,Alabama,0,Active,6-4,332
P030,Kyle,Hinton,28,N/A,68,OG,Washburn,4,Active,6-2,315
P031,Corey,Levin,32,N/A,62,OG,Chattanooga,8,Active,6-4,307
P032,Chris,Lindstrom,29,N/A,63,OG,Boston College,8,Active,6-4,310
P033,Jaeden,Roberts,23,N/A,59,OG,Alabama,0,Active,6-5,333
P034,Andrew,Stueber,27,N/A,74,OG,Michigan,2,Active,6-7,320
P035,Michael,Jerrell,27,N/A,72,OT,Findlay,3,Active,6-5,309
P036,Riley,Mahlman,23,N/A,76,OT,Wisconsin,0,Active,6-8,318
P037,Jake,Matthews,34,N/A,70,OT,Texas A&M,13,Active,6-5,310
P038,Wanya,Morris,25,N/A,79,OT,Oklahoma,4,Active,6-6,307
P039,Ethan,Onianwa,23,N/A,75,OT,Ohio State,0,Active,6-7,331
P040,Jawaan,Taylor,28,N/A,71,OT,Florida,8,Active,6-5,312
P041,Brandon,Walton,28,N/A,67,OT,Florida Atlantic,3,Active,6-5,300
P042,Keshawn,Banks,26,N/A,59,DE,San Diego State,1,Active,6-3,251
P043,Samson,Ebukam,31,N/A,52,DE,Eastern Washington,10,Active,6-3,245
P044,Zach,Harrison,25,N/A,96,DE,Ohio State,4,Active,6-5,270
P045,LaCale,London,29,N/A,94,DE,Western Illinois,3,Active,6-3,297
P046,Cameron,Sample,26,N/A,69,DE,Tulane,6,Active,6-3,272
P047,Za'Darius,Smith,33,N/A,91,DE,Kentucky,11,Active,6-4,270
P048,Cameron,Thomas,26,N/A,99,DE,San Diego State,5,Active,6-4,265
P049,Carlos,Allen Jr.,25,N/A,79,DT,Houston,0,Active,6-1,295
P050,Brandon,Dorlus,25,N/A,54,DT,Oregon,3,Active,6-3,295
P051,Da'Shawn,Hand,30,N/A,90,DT,Alabama,9,Active,6-3,302
P052,Eric,Johnson II,28,N/A,74,DT,Missouri State,5,Active,6-4,299
P053,Devonnsha,Maxwell,27,N/A,73,DT,Chattanooga,2,Active,6-2,297
P054,Maason,Smith,23,N/A,92,DT,LSU,3,Active,6-5,306
P055,Marlon,Tuipulotu,27,N/A,95,DT,USC,5,Active,6-2,307
P056,Chris,Williams,28,N/A,93,DT,Wagner,5,Active,6-2,298
P057,JD,Bertrand,26,N/A,40,LB,Notre Dame,3,Active,6-1,230
P058,Kendal,Daniels,23,N/A,53,LB,Oklahoma,0,Active,6-5,242
P059,Divine,Deablo,28,N/A,0,LB,Virginia Tech,6,Active,6-3,223
P060,Christian,Harris,25,N/A,45,LB,Alabama,5,Active,6-2,232
P061,Azeez,Ojulari,26,N/A,51,LB,Georgia,6,Active,6-3,240
P062,James,Pearce Jr.,22,N/A,27,LB,Tennessee,2,Active,6-5,243
P063,Harold,Perkins Jr.,21,N/A,56,LB,LSU,0,Active,6-0,223
P064,Daveren,Rayner,24,N/A,42,LB,Kentucky,0,Active,6-2,217
P065,Channing,Tindall,26,N/A,55,LB,Georgia,5,Active,6-2,236
P066,Bralen,Trice,25,N/A,48,LB,Washington,3,Active,6-4,274
P067,Josh,Woods,30,N/A,46,LB,Maryland,7,Active,6-1,235
P068,Natrone,Brooks,26,N/A,35,CB,Southern Miss,3,Active,5-11,175
P069,Cobee,Bryant,24,N/A,37,CB,Kansas,2,Active,6-0,180
P070,Malcolm,DeWalt IV,24,N/A,36,CB,Akron,0,Active,6-2,190
P071,Mike,Ford Jr.,31,N/A,28,CB,Southeast Missouri State,9,Active,6-0,199
P072,Darren,Hall,26,N/A,41,CB,San Diego State,5,Active,6-0,190
P073,C.J.,Henderson,27,N/A,26,CB,Florida,6,Active,6-1,205
P074,Darnay,Holmes,28,N/A,30,CB,UCLA,7,Active,5-9,198
P075,Mike,Hughes,29,N/A,21,CB,UCF,9,Active,5-10,190
P076,Clark,Phillips III,24,N/A,22,CB,Utah,4,Active,5-9,185
P077,Avieon,Terrell,21,N/A,12,CB,Clemson,0,Active,5-11,180
P078,A.J.,Terrell Jr.,27,N/A,24,CB,Clemson,7,Active,6-1,200
P079,A.J.,Woods,25,N/A,20,CB,Pittsburgh,1,Active,5-11,195
P080,Jessie,Bates III,29,N/A,3,S,Wake Forest,9,Active,6-1,210
P081,Sydney,Brown,26,N/A,29,S,Illinois,4,Active,5-10,211
P082,DeMarcco,Hellams,26,N/A,23,S,Alabama,4,Active,6-1,203
P083,Jammie,Robinson,25,N/A,34,S,Florida State,4,Active,5-11,195
P084,Keidron,Smith,26,N/A,39,S,Kentucky,2,Active,6-2,210
P085,Xavier,Watts,24,N/A,31,S,Notre Dame,2,Active,6-0,203
P086,Nick,Folk,41,N/A,6,K,Arizona,19,Active,6-1,225
P087,Jake,Bailey,29,N/A,16,P,Stanford,8,Active,6-2,212
P088,Liam,McCullough,29,N/A,49,LS,Ohio State,5,Active,6-2,245
P089,Trey,Sermon,27,N/A,44,RB,Ohio State,5,Injured Reserve,6-0,215
P090,Malik,Verdon,23,N/A,43,LB,Iowa State,1,Injured Reserve,6-4,218
P091,Jalon,Walker,22,N/A,11,LB,Georgia,2,Injured Reserve,6-2,245
P092,Billy,Bowman Jr.,23,N/A,33,CB,Oklahoma,2,Physically Unable to Perform,5-10,194
P093,DeAngelo,Malone,27,N/A,50,LB,Western Kentucky,5,Physically Unable to Perform,6-3,235
P094,Storm,Norton,32,N/A,77,OT,Toledo,7,Physically Unable to Perform,6-7,310
P095,Anterio,Thompson,23,N/A,98,DT,Washington,0,Non-Football Illness,6-4,310
