key,value
Team Name,Atlanta Falcons
City,"Atlanta, Georgia"
Home Stadium,Mercedes-Benz Stadium
Founded,1965
Conference,NFC
Division,South
Owner,Arthur M. Blank
President,Greg Beadles
General Manager,Ian Cunningham
Head Coach,Kevin Stefanski
Primary Colors,"Red, Black, Silver"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
