id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Josh,Allen,30,N/A,17,QB,Wyoming,9,Active,6-5,237
P002,Kyle,Allen,30,N/A,11,QB,Houston,8,Active,6-3,210
P003,Shane,Buechele,28,N/A,6,QB,SMU,4,Active,6-0,210
P004,James,Cook III,26,N/A,4,RB,Georgia,5,Active,5-11,190
P005,Ray,Davis,26,N/A,7,RB,Kentucky,3,Active,5-8,211
P006,Frank,Gore Jr.,24,N/A,20,RB,Southern Miss,1,Active,5-8,201
P007,Ty,Johnson,28,N/A,26,RB,Maryland,8,Active,5-10,210
P008,Ian,Wheeler,24,N/A,27,RB,Howard,2,Active,5-11,205
P009,Ben,VanSumeren,26,N/A,45,FB,Michigan State,4,Active,6-2,250
P010,Skyler,Bell,24,N/A,13,WR,UConn,0,Active,5-11,192
P011,Keon,Coleman,23,N/A,0,WR,Florida State,3,Active,6-3,213
P012,Stephen,Gosnell,24,N/A,89,WR,Virginia Tech,1,Active,6-1,198
P013,Mecole,Hardman Jr.,28,N/A,1,WR,Georgia,8,Active,5-10,187
P014,Ja'Mori,Maclin,24,N/A,84,WR,Kentucky,0,Active,5-11,183
P015,DJ,Moore,29,N/A,2,WR,Maryland,9,Active,6-0,213
P016,Joshua,Palmer,26,N/A,5,WR,Tennessee,6,Active,6-1,210
P017,Dante,Pettis,30,N/A,87,WR,Washington,8,Active,6-1,195
P018,Khalil,Shakir,26,N/A,10,WR,Boise State,5,Active,6-0,190
P019,Tyrell,Shavers,27,N/A,14,WR,San Diego State,2,Physically Unable to Perform,6-4,211
P020,Trent,Sherfield,30,N/A,81,WR,Vanderbilt,9,Active,6-1,205
P021,Quentin,Skinner,24,N/A,18,WR,Kansas,0,Active,6-5,195
P022,Max,Tomczak,23,N/A,80,WR,Youngstown State,0,Active,6-0,195
P023,Jackson,Hawes,25,N/A,85,TE,Georgia Tech,2,Active,6-4,253
P024,Dalton,Kincaid,26,N/A,86,TE,Utah,4,Active,6-3,246
P025,Dawson,Knox,29,N/A,88,TE,Ole Miss,8,Active,6-4,254
P026,Keleki,Latu,24,N/A,83,TE,Washington,1,Active,6-6,249
P027,Shane,Zylstra,29,N/A,48,TE,Minnesota State,5,Active,6-4,244
P028,Austin,Corbett,30,N/A,63,C,Nevada,9,Active,6-4,306
P029,Lloyd,Cushenberry III,28,N/A,53,C,LSU,7,Active,6-4,315
P030,Sincere,Haynesworth,25,N/A,61,C,Tulane,1,Active,6-1,310
P031,Connor,McGovern,28,N/A,66,C,Penn State,8,Active,6-6,318
P032,Sedrick,Van Pran-Granger,24,N/A,62,C,Georgia,3,Active,6-4,315
P033,Nick,Broeker,25,N/A,65,OG,Ole Miss,3,Active,6-4,305
P034,Bruno,Fina,24,N/A,75,OG,Duke,0,Active,6-5,300
P035,Ar'maj,Reed-Adams,24,N/A,60,OG,Texas A&M,0,Active,6-5,314
P036,O'Cyrus,Torrence,26,N/A,64,OG,Florida,4,Active,6-5,330
P037,Alec,Anderson,26,N/A,70,OT,UCLA,4,Active,6-5,305
P038,Jude,Bowry,23,N/A,74,OT,Boston College,0,Active,6-5,314
