key,value
Team Name,Buffalo Bills
City,"Orchard Park, New York"
Home Stadium,Highmark Stadium
Founded,1959
Conference,AFC
Division,East
Owner,Terry and Kim Pegula
President,Pete Guelli
General Manager,Brandon Beane
Head Coach,Joe Brady
Primary Colors,"Royal Blue, Red, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
