id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Haynes,King,25,N/A,16,QB,Georgia Tech,0,Active,6-2,212
P002,Kenny,Pickett,28,N/A,12,QB,Pittsburgh,5,Active,6-3,220
P003,Kyle,Trask,28,N/A,14,QB,Florida,5,Active,6-5,236
P004,Bryce,Young,25,N/A,9,QB,Alabama,4,Active,5-10,204
P005,Jonathon,Brooks,23,N/A,25,RB,Texas,3,Active,6-0,207
P006,Miles,Davis,24,N/A,37,RB,Utah State,0,Active,5-11,215
P007,AJ,Dillon,28,N/A,28,RB,Boston College,7,Active,6-0,247
P008,Trevor,Etienne,22,N/A,23,RB,Georgia,2,Active,5-8,198
P009,Chuba,Hubbard,27,N/A,30,RB,Oklahoma State,6,Active,6-1,210
P010,Anthony,Tyus III,23,N/A,34,RB,Ohio,1,Active,6-1,226
P011,Jalen,Coker,24,N/A,18,WR,Holy Cross,3,Active,6-3,213
P012,Elijah,Cooks,27,N/A,80,WR,San Jose State,2,Active,6-4,215
P013,Jimmy,Horn Jr.,23,N/A,15,WR,Colorado,2,Active,5-8,174
P014,Xavier,Legette,25,N/A,17,WR,South Carolina,3,Active,6-3,227
P015,Tetairoa,McMillan,23,N/A,4,WR,Arizona,2,Active,6-5,212
P016,John,Metchie III,26,N/A,13,WR,Alabama,4,Active,5-11,187
P017,David,Moore,31,N/A,83,WR,East Central,8,Active,6-0,220
P018,Ja'seem,Reed,23,N/A,86,WR,San Diego,1,Active,6-2,195
P019,Roc,Taylor,24,N/A,39,WR,Memphis,1,Active,6-1,213
P020,Brycen,Tremayne,26,N/A,87,WR,Stanford,2,Active,6-4,212
P021,Casey,Washington,25,N/A,88,WR,Illinois,3,Active,6-0,200
P022,Mitchell,Evans,23,N/A,84,TE,Notre Dame,2,Active,6-5,258
P023,Feleipe,Franks,28,N/A,81,TE,Arkansas,4,Active,6-6,228
P024,James,Mitchell,27,N/A,85,TE,Virginia Tech,4,Active,6-4,249
P025,Caden,Prieskorn,26,N/A,40,TE,Ole Miss,1,Active,6-5,255
P026,Ja'Tavion,Sanders,23,N/A,0,TE,Texas,3,Active,6-4,252
P027,Tommy,Tremble,26,N/A,82,TE,Notre Dame,6,Active,6-4,250
P028,Darren,Waller,33,N/A,35,TE,Georgia Tech,9,Active,6-6,245
P029,Luke,Fortner,28,N/A,77,C,Kentucky,5,Active,6-6,300
P030,Sam,Hecht,23,N/A,75,C,Kansas State,0,Active,6-4,303
P031,Nick,Samac,25,N/A,60,C,Michigan State,3,Active,6-4,314
P032,Ja'Tyre,Carter,27,N/A,65,OG,Southern,3,Active,6-3,311
P033,Brady,Christensen,29,N/A,70,OG,BYU,6,Active,6-6,300
P034,Robert,Hunt,30,N/A,50,OG,Louisiana-Lafayette,7,Active,6-6,323
P035,Damien,Lewis,29,N/A,68,OG,LSU,7,Active,6-2,327
P036,Chandler,Zavala,27,N/A,62,OG,NC State,4,Active,6-3,322
P037,Jake,Curhan,28,N/A,71,OT,California,6,Active,6-6,316
P038,Ikem,Ekwonu,25,N/A,79,OT,NC State,5,Physically Unable to Perform,6-4,320
P039,Stone,Forsythe,28,N/A,73,OT,Florida,6,Active,6-8,307
P040,Monroe,Freeling,22,N/A,57,OT,Georgia,0,Active,6-7,315
P041,Isaia,Glass,23,N/A,74,OT,Vanderbilt,0,Active,6-4,311
P042,Ryan,Hayes,26,N/A,66,OT,Michigan,1,Active,6-7,305
P043,Taylor,Moton,32,N/A,72,OT,Western Michigan,10,Non-Football Illness,6-5,325
P044,Albert,Reese IV,24,N/A,76,OT,Mississippi State,0,Active,6-7,330
P045,Rasheed,Walker,26,N/A,63,OT,Penn State,5,Active,6-6,325
P046,Elijah,Garcia,28,N/A,96,DE,Rice,3,Active,6-5,302
P047,Jared,Harrison-Hunte,26,N/A,94,DE,SMU,2,Active,6-4,294
P048,Kyon,Barrs,24,N/A,67,DT,USC,1,Active,6-1,309
P049,Derrick,Brown,28,N/A,95,DT,Auburn,7,Active,6-5,320
P050,Bobby,Brown III,26,N/A,97,DT,Texas A&M,6,Active,6-4,332
P051,Aaron,Hall,23,N/A,61,DT,Duke,0,Active,6-4,297
P052,Lee,Hunter,24,N/A,92,DT,Texas Tech,0,Active,6-3,318
P053,Cam,Jackson,24,N/A,99,DT,Florida,2,Active,6-6,328
P054,Tywone,Malone Jr.,23,N/A,64,DT,Ohio State,0,Active,6-4,309
P055,Parker,Petersen,23,N/A,69,DT,Wisconsin,0,Active,6-4,314
P056,Tershawn,Wharton,28,N/A,98,DT,Missouri S&T,7,Physically Unable to Perform,6-1,280
P057,Claudin,Cherelus,27,N/A,53,LB,Alcorn State,4,Active,6-2,230
P058,Cam,Gill,28,N/A,49,LB,Wagner,6,Active,6-3,240
P059,Trevis,Gipson,29,N/A,52,LB,Tulsa,7,Active,6-4,255
P060,Thomas,Incoom,27,N/A,48,LB,Central Michigan,4,Active,6-2,265
P061,Patrick,Jones II,27,N/A,91,LB,Pittsburgh,6,Active,6-4,264
P062,Jackson,Kuwatch,23,N/A,46,LB,Miami (OH),0,Active,6-4,232
P063,Devin,Lloyd,27,N/A,55,LB,Utah,5,Active,6-3,235
P064,Bam,Martin-Scott,26,N/A,54,LB,South Carolina,2,Active,6-2,231
P065,Jeremiah,Moon,28,N/A,56,LB,Florida,3,Active,6-5,247
P066,Mapalo,Mwansa,22,N/A,58,LB,N/A,1,Active,6-2,230
P067,Maema,Njongmeta,25,N/A,45,LB,Wisconsin,3,Active,6-0,230
P068,Jaelan,Phillips,27,N/A,5,LB,Miami,6,Active,6-5,266
P069,Isaiah,Smith,22,N/A,47,LB,SMU,0,Active,6-4,248
P070,Princely,Umanmielen,24,N/A,3,LB,Ole Miss,2,Active,6-4,244
P071,Trevin,Wallace,23,N/A,32,LB,Kentucky,3,Active,6-1,244
P072,Akayleb,Evans,27,N/A,29,CB,Missouri,5,Active,6-2,198
P073,Tyrek,Funderburk,25,N/A,20,CB,Appalachian State,2,Active,6-0,185
P074,Jaycee,Horn,26,N/A,8,CB,South Carolina,6,Active,6-1,200
P075,Mike,Jackson,29,N/A,2,CB,Miami,6,Active,6-1,210
P076,Will,Lee III,23,N/A,24,CB,Texas A&M,0,Active,6-1,189
P077,Cam,Miller,23,N/A,42,CB,Rutgers,0,Active,6-0,192
P078,DeCarlos,Nicholson,24,N/A,41,CB,USC,0,Active,6-3,200
P079,Robert,Rochell,28,N/A,33,CB,Central Arkansas,6,Active,6-2,195
P080,DeVonta,Smith,23,N/A,43,CB,Notre Dame,0,Active,5-11,195
P081,Chau,Smith-Wade,23,N/A,26,CB,Washington State,3,Active,5-11,176
P082,Corey,Thornton,25,N/A,31,CB,Louisville,2,Active,6-1,195
P083,Tre'von,Moehrig,27,N/A,7,S,TCU,6,Active,6-2,202
P084,Lathan,Ransom,24,N/A,22,S,Ohio State,2,Active,6-0,206
P085,Demani,Richardson,25,N/A,36,S,Texas A&M,3,Active,6-1,215
P086,Nick,Scott,31,N/A,21,S,Penn State,8,Active,5-11,200
