id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,Ben,Johnson,40,N/A,Head Coach,Administration,2,14
C002,Dennis,Allen,53,N/A,Defensive Coordinator,Defense,2,20
C003,Press,Taylor,38,N/A,Offensive Coordinator,Offense,2,13
C004,Richard,Hightower,45,N/A,Special Teams Coordinator,Special Teams,5,13
C005,Antwaan,Randle El,47,N/A,Wide Receivers Coach/Assistant Head Coach,Offense,2,11
C006,Matt,Aponte,28,N/A,Offensive Quality Control,Offense,1,3
C007,J.T.,Barrett,31,N/A,Quarterbacks Coach,Offense,1,3
C008,Kyle,DeVan,43,N/A,Assistant Offensive Line Coach,Offense,2,8
C009,Jim,Dray,38,N/A,Tight Ends Coach,Offense,2,6
C010,Isaiah,Ford,31,N/A,Offensive Quality Control,Offense,1,2
C011,Dan,Roushar,60,N/A,Offensive Line Coach,Offense,2,30
C012,Eric,Studesville,57,N/A,Running Backs Coach,Offense,1,25
C013,Robbie,Picazo,30,N/A,Offensive Assistant,Offense,2,5
C014,Zach,Cable,29,N/A,Defensive Quality Control,Defense,2,5
C015,Jeremy,Garrett,45,N/A,Defensive Line Coach,Defense,2,15
C016,Matt,Giordano,41,N/A,Assistant Defensive Backs/Safeties Coach,Defense,2,8
C017,Al,Harris,52,N/A,Defensive Backs Coach/Passing Game Coordinator,Defense,2,15
C018,Bill,Johnson,65,N/A,Senior Defensive Assistant,Defense,2,30
C019,Kevin,Koch,38,N/A,Assistant Linebackers Coach,Defense,2,10
C020,Cannon,Matthews,30,N/A,Defensive Assistant/Nickels,Defense,1,4
C021,Kenny,Norton III,27,N/A,Defensive Quality Control,Defense,1,3
C022,Richard,Smith,68,N/A,Linebackers Coach,Defense,2,35
C023,Anthony,Blevins,36,N/A,Assistant Special Teams Coach,Special Teams,2,10
C024,Pierre,Ngo,42,N/A,Head Strength and Conditioning Coach,Strength & Conditioning,2,15
C025,Allison,Haley,32,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,2,7
C026,Noble,Landry,44,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,2,12
C027,Reshard,Langford,35,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,2,8
C028,Mark,Philippi,55,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,3,20
C029,Justin,Rudd,45,N/A,Senior Director of Coaching Operations,Administration,10,15
C030,Chavis,Cook,33,N/A,Manager of Coaching Administration,Administration,4,6
C031,Harrison,Freid,30,N/A,Director of Research and Analysis,Administration,3,6
