id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Tyson,Bagent,26,N/A,17,QB,Shepherd,4,Active,6-3,212
P002,Case,Keenum,38,N/A,11,QB,Houston,14,Active,6-1,220
P003,Miller,Moss,24,N/A,16,QB,Louisville,0,Active,6-1,211
P004,Caleb,Williams,24,N/A,18,QB,USC,3,Active,6-1,226
P005,Salvon,Ahmed,27,N/A,36,RB,Washington,5,Active,5-11,196
P006,Brittain,Brown,28,N/A,38,RB,UCLA,3,Active,6-1,205
P007,Roschon,Johnson,25,N/A,23,RB,Texas,4,Active,6-0,227
P008,Kyle,Monangai,24,N/A,25,RB,Rutgers,2,Active,5-8,207
P009,D'Andre,Swift,27,N/A,4,RB,Georgia,7,Active,5-8,204
P010,Maurice,Alexander,29,N/A,13,WR,Florida International,1,Active,5-10,173
P011,Luther,Burden III,22,N/A,10,WR,Missouri,2,Active,6-0,210
P012,Kaden,Davis,27,N/A,27,WR,Northwest Missouri State,1,Active,6-1,193
P013,Omari,Kelly,22,N/A,82,WR,Michigan State,0,Active,5-11,190
P014,Ray-Ray,McCloud III,29,N/A,26,WR,Clemson,8,Active,5-9,190
P015,Scotty,Miller,29,N/A,35,WR,Bowling Green,8,Active,5-9,174
P016,Rome,Odunze,24,N/A,15,WR,Washington,3,Active,6-3,214
P017,Kalif,Raymond,32,N/A,14,WR,Holy Cross,10,Active,5-9,160
P018,JP,Richardson,24,N/A,83,WR,TCU,1,Active,5-11,192
P019,Zavion,Thomas,22,N/A,81,WR,LSU,0,Active,5-10,190
P020,Jahdae,Walker,24,N/A,9,WR,Texas A&M,2,Active,6-3,206
P021,Stephen,Carlson,29,N/A,88,TE,Princeton,4,Active,6-4,248
P022,Qadir,Ismail,26,N/A,80,TE,Samford,1,Active,6-6,245
P023,Cole,Kmet,27,N/A,85,TE,Notre Dame,7,Active,6-6,257
P024,Hayden,Large,24,N/A,43,TE,Iowa,0,Active,6-4,250
P025,Colston,Loveland,22,N/A,84,TE,Michigan,2,Active,6-6,241
P026,Sam,Roush,22,N/A,87,TE,Stanford,0,Active,6-5,267
P027,Garrett,Bradbury,31,N/A,67,C,NC State,8,Active,6-3,305
P028,Wesley,French,29,N/A,68,C,Western Michigan,4,Active,6-4,307
P029,Logan,Jones,24,N/A,54,C,Iowa,0,Active,6-3,299
P030,Jaren,Kump,26,N/A,64,C,Utah,0,Active,6-5,306
P031,Caden,Barnett,23,N/A,76,OG,Wyoming,0,Active,6-4,316
