key,value
Team Name,Chicago Bears
City,"Chicago, Illinois"
Home Stadium,Soldier Field
Founded,1920
Conference,NFC
Division,North
Owner,George H. McCaskey (Chairman)
President,Kevin Warren
General Manager,Ryan Poles
Head Coach,Ben Johnson
Primary Colors,"Navy Blue, Burnt Orange"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
