id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Joe,Burrow,29,N/A,9,QB,LSU,7,Active,6-4,215
P002,Sean,Clifford,28,N/A,4,QB,Penn State,2,Active,6-2,212
P003,Joe,Flacco,41,N/A,16,QB,Delaware,19,Active,6-6,245
P004,Josh,Johnson,40,N/A,11,QB,San Diego,12,Active,6-3,219
P005,Gary,Brightwell,28,N/A,32,RB,Arizona,4,Active,6-1,218
P006,Tahj,Brooks,24,N/A,25,RB,Texas Tech,2,Active,5-9,220
P007,Chase,Brown,26,N/A,30,RB,Illinois,4,Active,5-10,210
P008,Kentrel,Bullock,24,N/A,31,RB,South Alabama,0,Active,5-10,204
P009,Jamal,Haynes,23,N/A,24,RB,Georgia Tech,0,Active,5-7,195
P010,Kendall,Milton,24,N/A,36,RB,Georgia,1,Active,6-1,230
P011,Samaje,Perine,30,N/A,34,RB,Oklahoma,10,Active,5-11,240
P012,Ja'Marr,Chase,26,N/A,1,WR,LSU,6,Active,6-0,205
P013,Tee,Higgins,27,N/A,5,WR,Clemson,7,Active,6-4,220
P014,Andrei,Iosivas,26,N/A,80,WR,Princeton,4,Active,6-3,210
P015,Xavier,Johnson,27,N/A,18,WR,Ohio State,1,Active,6-1,210
P016,Charlie,Jones,27,N/A,15,WR,Purdue,4,Active,6-0,190
P017,Dohnte,Meyers,26,N/A,81,WR,Delta State,1,Active,5-11,186
P018,Jordan,Moore,24,N/A,14,WR,Duke,1,Active,6-0,191
P019,Kendric,Pryor,28,N/A,19,WR,Wisconsin,2,Active,5-11,189
P020,Noah,Thomas,22,N/A,17,WR,Georgia,0,Active,6-5,203
P021,Mitchell,Tinsley,26,N/A,82,WR,Penn State,3,Active,6-1,205
P022,Ke'Shawn,Williams,24,N/A,12,WR,Indiana,2,Active,5-9,189
P023,Colbie,Young,24,N/A,86,WR,Georgia,0,Active,6-3,218
P024,Erick,All Jr.,25,N/A,83,TE,Iowa,3,Active,6-5,255
P025,Jack,Endries,22,N/A,84,TE,Texas,0,Active,6-5,245
P026,Mike,Gesicki,30,N/A,88,TE,Penn State,9,Active,6-6,245
P027,Cam,Grandy,26,N/A,85,TE,Illinois State,3,Active,6-5,253
P028,Tanner,Hudson,31,N/A,87,TE,Southern Arkansas,7,Active,6-5,241
P029,Josh,Kattus,22,N/A,48,TE,Kentucky,0,Active,6-4,245
P030,Drew,Sample,30,N/A,89,TE,Washington,8,Active,6-5,260
P031,Jacob,Bayer,23,N/A,69,C,Arkansas State,1,Active,6-3,310
P032,Ted,Karras,33,N/A,64,C,Illinois,11,Active,6-4,310
