key,value
Team Name,Cincinnati Bengals
City,"Cincinnati, Ohio"
Home Stadium,Paycor Stadium
Founded,1968
Conference,AFC
Division,North
Owner,Mike Brown
President,Mike Brown
General Manager,Duke Tobin
Head Coach,Zac Taylor
Primary Colors,"Black, Orange, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from bengals.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against bengals.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
