id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Dillon,Gabriel,25,N/A,14,QB,Oregon,2,Active,5-11,205
P002,Taylen,Green,23,N/A,15,QB,Arkansas,0,Active,6-6,230
P003,Shedeur,Sanders,24,N/A,2,QB,Colorado,2,Active,6-2,212
P004,Deshaun,Watson,30,N/A,4,QB,Clemson,10,Active,6-3,223
P005,Davon,Booth,24,N/A,29,RB,Mississippi State,0,Active,5-10,192
P006,Quinshon,Judkins,22,N/A,10,RB,Ohio State,2,Active,6-0,221
P007,Ahmani,Marshall,24,N/A,23,RB,Appalachian State,1,Active,6-1,225
P008,Dylan,Sampson,21,N/A,22,RB,Tennessee,2,Active,5-8,200
P009,Raheim,Sanders,24,N/A,35,RB,South Carolina,2,Active,6-0,230
P010,Michael,Burton,34,N/A,34,FB,Rutgers,11,Active,6-0,247
P011,Isaiah,Bond,22,N/A,0,WR,Texas,2,Active,5-11,180
P012,Denzel,Boston,22,N/A,12,WR,Washington,0,Active,6-4,215
P013,KC,Concepcion,21,N/A,1,WR,Texas A&M,0,Active,6-0,190
P014,Malachi,Corley,24,N/A,83,WR,Western Kentucky,3,Active,5-11,215
P015,Luke,Floriea,24,N/A,81,WR,Kent State,1,Active,5-8,180
P016,Jerry,Jeudy,27,N/A,3,WR,Alabama,7,Active,6-1,195
P017,Gage,Larvadain,23,N/A,84,WR,South Carolina,2,Active,5-8,171
P018,Cedric,Tillman,26,N/A,19,WR,Tennessee,4,Active,6-3,215
P019,Tylan,Wallace,27,N/A,16,WR,Oklahoma State,6,Active,5-11,200
P020,Kole,Wilson,22,N/A,87,WR,Baylor,0,Active,5-9,177
P021,Harold,Fannin Jr.,22,N/A,44,TE,Bowling Green,2,Active,6-4,241
P022,Joe,Royer,24,N/A,18,TE,Cincinnati,0,Active,6-5,250
P023,Carsen,Ryan,23,N/A,48,TE,BYU,0,Active,6-3,255
P024,Blake,Whiteheart,26,N/A,86,TE,Wake Forest,4,Active,6-4,250
P025,Parker,Brailsford,22,N/A,52,C,Alabama,0,Active,6-2,290
P026,Kingsley,Eguakun,25,N/A,65,C,Florida,2,Active,6-3,305
P027,Elgton,Jenkins,30,N/A,74,C,Mississippi State,8,Active,6-5,310
P028,Luke,Wypler,25,N/A,56,C,Ohio State,4,Active,6-3,303
P029,Teven,Jenkins,28,N/A,78,OG,Oklahoma State,6,Active,6-6,321
P030,Zion,Johnson,26,N/A,77,OG,Boston College,5,Active,6-3,315
P031,Zak,Zinter,25,N/A,70,OG,Michigan,3,Active,6-6,310
P032,Austin,Barber,23,N/A,58,OT,Florida,0,Active,6-7,320
P033,Spencer,Fano,21,N/A,55,OT,Utah,0,Active,6-6,315
P034,Tytus,Howard,30,N/A,71,OT,Alabama State,8,Active,6-5,320
P035,Dawand,Jones,25,N/A,79,OT,Ohio State,4,Active,6-8,374
P036,KT,Leveston,26,N/A,72,OT,Kansas State,3,Active,6-4,335
P037,Derek,Barnett,30,N/A,50,DE,Tennessee,10,Active,6-3,260
P038,Logan,Fano,24,N/A,97,DE,Utah,0,Active,6-4,252
P039,Adin,Huntington,24,N/A,98,DE,Tulane,2,Active,6-1,281
P040,Isaiah,McGuire,25,N/A,57,DE,Missouri,4,Active,6-4,268
P041,Julian,Okwara,28,N/A,99,DE,Notre Dame,6,Active,6-4,250
P042,Tyreak,Sapp,23,N/A,64,DE,Florida,0,Active,6-2,273
P043,Khordae,Sydnor,23,N/A,90,DE,Vanderbilt,0,Active,6-4,264
P044,Jared,Verse,25,N/A,8,DE,Florida State,3,Active,6-4,260
P045,Travis,Bell,27,N/A,66,DT,Kennesaw State,2,Active,6-0,310
P046,Elijah,Chatman,25,N/A,62,DT,SMU,2,Active,6-0,278
P047,Maliek,Collins,31,N/A,96,DT,Nebraska,11,Active,6-2,310
P048,Kalia,Davis,27,N/A,93,DT,UCF,5,Active,6-2,310
P049,Mason,Graham,22,N/A,94,DT,Michigan,2,Active,6-4,315
P050,Mike,Hall Jr.,23,N/A,51,DT,Ohio State,3,Active,6-3,300
P051,Sam,Kamara,28,N/A,92,DT,Stony Brook,4,Active,6-0,272
P052,Justin,Jefferson,23,N/A,17,LB,Alabama,0,Active,6-0,223
P053,Easton,Mascarenas-Arnold,23,N/A,42,LB,USC,2,Active,5-11,227
P054,Winston,Reid,27,N/A,59,LB,Weber State,3,Active,6-0,225
P055,Carson,Schwesinger,23,N/A,49,LB,UCLA,2,Active,6-3,242
P056,Edefuan,Ulofoshio,26,N/A,54,LB,Washington,2,Active,6-1,240
P057,Nathaniel,Watson,25,N/A,40,LB,Mississippi State,3,Active,6-0,233
P058,Quincy,Williams,29,N/A,5,LB,Murray State,8,Active,5-11,230
P059,Mekhi,Blackmon,27,N/A,38,CB,USC,0,Active,5-11,178
P060,Myles,Bryant,28,N/A,27,CB,Washington,7,Active,5-9,192
P061,Tyson,Campbell,26,N/A,7,CB,Georgia,6,Active,6-1,195
P062,Michael,Coats Jr.,25,N/A,39,CB,West Virginia,0,Active,5-9,184
P063,Myles,Harden,24,N/A,26,CB,South Dakota,3,Active,5-11,195
P064,D'Angelo,Ross,32,N/A,20,CB,New Mexico,5,Active,5-9,190
P065,Denzel,Ward,29,N/A,21,CB,Ohio State,9,Active,5-11,190
P066,Grant,Delpit,27,N/A,9,S,LSU,7,Active,6-3,208
P067,Ronnie,Hickman,24,N/A,33,S,Ohio State,4,Active,6-1,209
P068,Donovan,McMillon,24,N/A,31,S,Pittsburgh,2,Active,6-2,203
P069,Emmanuel,McNeil-Warren,22,N/A,28,S,Toledo,0,Active,6-3,210
P070,Daniel,Thomas,28,N/A,24,S,Auburn,7,Active,5-10,215
P071,Zion,Washington,23,N/A,41,S,Boise State,0,Active,6-1,208
P072,Andre,Szmyt,27,N/A,25,K,Syracuse,2,Active,6-0,200
P073,Corey,Bojorquez,29,N/A,13,P,New Mexico,9,Active,6-0,217
P074,Wes,Pahl,24,N/A,36,P,Oklahoma State,0,Active,6-4,207
P075,Rex,Sunahara,29,N/A,45,LS,West Virginia,3,Active,6-6,242
P076,Jamari,Thrash,25,N/A,80,WR,Louisville,3,Injured Reserve,6-0,190
P077,Kendrick,Green,27,N/A,53,OG,Illinois,5,Injured Reserve,6-4,315
P078,Alex,Wright,25,N/A,91,DE,UAB,5,Injured Reserve,6-5,267
P079,Jeremiah,Owusu-Koramoah,26,N/A,6,LB,Notre Dame,6,Injured Reserve,6-2,221
P080,Damarri,Mathis,27,N/A,37,CB,Pittsburgh,5,Injured Reserve,5-11,195
