id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Jimmy,Haslam,71,N/A,Ownership,Principal Owner/Managing Partner,14
S002,Dee,Haslam,63,N/A,Ownership,Managing Partner,14
S003,Dave,Jenkins,55,N/A,Front Office/Executive,President,6
S004,Andrew,Berry,39,N/A,Football Operations,Executive Vice President of Football Operations & General Manager,7
S005,Catherine,Hickman,45,N/A,Football Operations,Assistant GM & Vice President of Football Operations,8
S006,Glenn,Cook,46,N/A,Scouting,Assistant GM & Vice President of Player Personnel,9
S007,Peter,John-Baptiste,50,N/A,Media Relations,Chief Communications Officer,20
S008,Mike,Nikolaus,48,N/A,Human Resources,Chief Human Resources Officer,10
S009,Brent,Rossi,47,N/A,Marketing,Chief Marketing Officer,10
S010,Gregory,Rush,52,N/A,Business Operations,Chief Financial Officer,12
S011,Ted,Tywang,50,N/A,Front Office/Executive,Chief Administrative Officer & General Counsel,10
S012,Pat,Rock,45,N/A,Medical/Athletic Training,Head Athletic Trainer,12
S013,Ryan,Curtis,40,N/A,Medical/Athletic Training,Director of Health & Performance Innovation,6
S014,Ron,Brewer,50,N/A,Football Operations,Director of Player Engagement,15
S015,John,Frain,48,N/A,Security,Director of Security,10
S016,Kory,Gillissie,44,N/A,Equipment,Director of Equipment Operations,12
S017,Dave,Giuliani,40,N/A,Analytics,Vice President of Research & Strategy,8
S018,Max,Paulus,42,N/A,Scouting,Director of College Scouting,10
S019,Laurie,Rice,50,N/A,Business Operations,Vice President of Finance,15
S020,Derek,Halbasch,45,N/A,Stadium Operations,Director of Stadium Operations,12
