key,value
Team Name,Cleveland Browns
City,"Cleveland, Ohio"
Home Stadium,Huntington Bank Field
Founded,1946
Conference,AFC
Division,North
Owner,Jimmy Haslam
President,Dave Jenkins
General Manager,Andrew Berry
Head Coach,Todd Monken
Primary Colors,"Brown, Orange, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from clevelandbrowns.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against clevelandbrowns.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
