id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Sam,Howell,25,N/A,16,QB,North Carolina,5,Active,6-1,225
P002,Joe,Milton III,26,N/A,10,QB,Tennessee,3,Active,6-5,236
P003,Dak,Prescott,33,N/A,4,QB,Mississippi State,11,Active,6-2,230
P004,Israel,Abanikanda,23,N/A,30,RB,Pittsburgh,3,Active,5-10,217
P005,Jaydon,Blue,22,N/A,23,RB,Texas,2,Active,5-9,198
P006,Jashaun,Corbin,26,N/A,36,RB,Florida State,2,Active,5-11,203
P007,Malik,Davis,27,N/A,20,RB,Florida,3,Active,5-10,205
P008,Phil,Mafah,23,N/A,37,RB,Clemson,2,Active,6-1,232
P009,Javonte,Williams,26,N/A,33,RB,North Carolina,6,Active,5-10,222
P010,Hunter,Luepke,26,N/A,40,FB,North Dakota State,4,Active,6-1,250
P011,Camden,Brown,22,N/A,6,WR,Georgia Southern,0,Active,6-2,204
P012,Ryan,Flournoy,26,N/A,19,WR,Southeast Missouri State,3,Active,6-1,205
P013,Jordan,Hudson,22,N/A,18,WR,SMU,0,Active,6-1,199
P014,Tyler,Johnson,28,N/A,15,WR,Minnesota,6,Active,6-1,208
P015,CeeDee,Lamb,27,N/A,88,WR,Oklahoma,7,Active,6-2,198
P016,Denzel,Mims,28,N/A,84,WR,Baylor,4,Active,6-3,207
P017,Jonathan,Mingo,25,N/A,81,WR,Ole Miss,4,Active,6-2,225
P018,George,Pickens,25,N/A,3,WR,Georgia,5,Active,6-3,200
P019,Anthony,Smith,24,N/A,83,WR,East Carolina,0,Active,6-2,197
P020,Jaden,Smith,24,N/A,17,WR,Tarleton State,0,Active,6-6,210
P021,KaVontae,Turpin,30,N/A,9,WR,TCU,5,Active,5-7,158
P022,Marquez,Valdes-Scantling,31,N/A,11,WR,South Florida,9,Active,6-4,206
P023,Jake,Ferguson,27,N/A,87,TE,Wisconsin,5,Active,6-5,250
P024,Zack,Kuntz,27,N/A,47,TE,Old Dominion,1,Active,6-8,251
P025,DJ,Rogers,24,N/A,49,TE,TCU,0,Active,6-4,245
P026,Luke,Schoonmaker,27,N/A,86,TE,Michigan,4,Active,6-5,250
P027,Brevyn,Spann-Ford,26,N/A,89,TE,Minnesota,3,Active,6-6,265
P028,Michael,Trigg,24,N/A,46,TE,Baylor,0,Active,6-4,240
P029,Mitch,Van Vooren,25,N/A,82,TE,St. Norbert,1,Active,6-5,255
P030,Cooper,Beebe,25,N/A,56,C,Kansas State,3,Active,6-3,320
P031,T.J.,Bass,27,N/A,66,OG,Oregon,4,Active,6-4,320
P032,Tyler,Booker,22,N/A,52,OG,Alabama,2,Active,6-5,330
P033,Chris,Glaser,26,N/A,68,OG,Virginia,2,Active,6-4,306
P034,Sebastian,Gutierrez,28,N/A,61,OG,Minot State,1,Active,6-6,295
P035,Trevor,Keegan,25,N/A,77,OG,Michigan,3,Active,6-6,320
P036,Nick,Leverett,29,N/A,51,OG,Rice,5,Active,6-3,310
P037,Tyler,Smith,25,N/A,73,OG,Tulsa,5,Active,6-5,328
P038,DJ,Wingfield,25,N/A,64,OG,USC,0,Active,6-4,316
P039,Ajani,Cornelius,24,N/A,65,OT,Oregon,2,Active,6-5,318
P040,Tyler,Guyton,25,N/A,60,OT,Oklahoma,3,Active,6-7,325
P041,Marcellus,Johnson,26,N/A,79,OT,Missouri,1,Active,6-4,307
P042,Shiyazh,Pete,23,N/A,75,OT,Kentucky,0,Active,6-9,309
P043,Drew,Shelton,22,N/A,67,OT,Penn State,0,Active,6-5,313
P044,Terence,Steele,29,N/A,78,OT,Texas Tech,7,Active,6-6,320
P045,Nate,Thomas,25,N/A,71,OT,Louisiana-Lafayette,3,Active,6-5,330
P046,Jonathan,Bullard,32,N/A,98,DT,Florida,11,Active,6-3,290
P047,Kenny,Clark,30,N/A,97,DT,UCLA,11,Active,6-3,314
P048,Tommy,Dunn Jr.,23,N/A,95,DT,Kansas,0,Active,6-3,291
P049,Adedayo,Odeleye,28,N/A,96,DT,Loughborough,1,Active,6-5,283
P050,Otito,Ogbonnia,26,N/A,91,DT,UCLA,5,Active,6-4,320
P051,LT,Overton,21,N/A,99,DT,Alabama,0,Active,6-5,274
P052,Jay,Toia,23,N/A,93,DT,UCLA,2,Active,6-2,340
P053,Quinnen,Williams,28,N/A,92,DT,Alabama,8,Active,6-3,303
P054,DJ,Withers,23,N/A,59,DT,Kansas,0,Active,6-4,294
P055,Jaishawn,Barham,22,N/A,55,LB,Michigan,0,Active,6-3,240
P056,Justin,Barron,24,N/A,45,LB,Syracuse,1,Active,6-4,235
P057,Donovan,Ezeiruaku,23,N/A,6,LB,Boston College,2,Active,6-2,255
P058,Rashan,Gary,28,N/A,7,LB,Michigan,8,Active,6-5,277
P059,James,Houston,27,N/A,41,LB,Jackson State,5,Active,6-1,248
P060,Shemar,James,22,N/A,50,LB,Florida,2,Active,6-1,235
P061,Isaiah,Land,26,N/A,58,LB,Florida A&M,3,Active,6-3,245
P062,Malachi,Lawrence,23,N/A,57,LB,UCF,0,Active,6-4,253
P063,Marist,Liufau,25,N/A,35,LB,Notre Dame,3,Active,6-2,238
P064,Von,Miller,37,N/A,40,LB,Texas A&M,16,Active,6-3,245
P065,DeMarvion,Overshown,26,N/A,0,LB,Texas,4,Active,6-3,230
P066,Langston,Patterson,23,N/A,47,LB,Vanderbilt,0,Active,6-0,229
P067,Curtis,Robinson,28,N/A,42,LB,Stanford,5,Active,6-3,235
P068,Tyrus,Wheat,26,N/A,90,LB,Mississippi State,4,Active,6-2,260
P069,Sam,Williams,27,N/A,54,LB,Ole Miss,4,Active,6-4,260
P070,Dee,Winters,25,N/A,53,LB,TCU,4,Active,5-11,227
P071,DaRon,Bland,27,N/A,26,CB,Fresno State,5,Active,6-2,202
P072,Trikweze,Bridges,25,N/A,25,CB,Florida,2,Active,6-2,200
P073,Josh,Butler,29,N/A,31,CB,Michigan State,3,Active,6-0,192
P074,Caelen,Carson,24,N/A,21,CB,Wake Forest,3,Active,6-0,195
P075,Zion,Childress,24,N/A,48,CB,Kentucky,1,Active,5-11,203
P076,Cobie,Durant,28,N/A,2,CB,South Carolina State,5,Active,5-11,181
P077,Derion,Kendrick,26,N/A,15,CB,Georgia,5,Active,6-0,205
P078,Devin,Moore,22,N/A,29,CB,Florida,0,Active,6-3,198
P079,Shavon,Revel Jr.,25,N/A,28,CB,East Carolina,2,Active,6-1,198
P080,Ameer,Speed,26,N/A,39,CB,Michigan State,3,Active,6-3,215
P081,Reddy,Steward,25,N/A,27,CB,Troy,2,Active,5-11,178
P082,Markquese,Bell,27,N/A,14,S,Florida A&M,5,Active,6-2,215
P083,Alijah,Clark,23,N/A,38,S,Syracuse,2,Active,6-1,200
P084,Caleb,Downs,21,N/A,13,S,Ohio State,0,Active,6-0,206
P085,Malik,Hooker,30,N/A,24,S,Ohio State,10,Active,6-1,215
P086,P.J.,Locke,29,N/A,1,S,Texas,7,Active,5-10,205
P087,Jalen,Thompson,28,N/A,34,S,Washington State,8,Active,5-11,190
P088,Julius,Wood,25,N/A,32,S,East Carolina,2,Active,6-1,193
P089,Brandon,Aubrey,31,N/A,17,K,Notre Dame,4,Active,6-3,218
P090,Bryan,Anger,37,N/A,5,P,California,15,Active,6-3,214
P091,Trent,Sieg,31,N/A,44,LS,Colorado State,9,Active,6-3,255
P092,Princeton,Fant,27,N/A,85,TE,Tennessee,2,Injured Reserve,6-2,245
P093,Matt,Hennessy,28,N/A,72,OG,Temple,7,Injured Reserve,6-3,315
P094,Kelvin,Gilliam Jr.,23,N/A,94,DT,Virginia Tech,0,Injured Reserve,6-2,296
