id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Jerry,Jones,83,N/A,Ownership,Owner/President/General Manager,37
S002,Stephen,Jones,61,N/A,Front Office/Executive,Chief Operating Officer and Co-Owner,35
S003,Charlotte,Jones,60,N/A,Front Office/Executive,Chief Brand Officer and Co-Owner,35
S004,Jerry,Jones Jr.,56,N/A,Front Office/Executive,Chief Sales and Marketing Officer and Co-Owner,30
S005,Will,McClay,60,N/A,Football Operations,Vice President of Player Personnel,25
S006,Todd,Williams,50,N/A,Football Operations,Vice President of Football Operations/Football Administration,15
S007,Jason,McKay,45,N/A,Football Operations,Senior Director of Football Administration and Technology,12
S008,Adam,Prasifka,42,N/A,Football Operations,Senior Director of Salary Cap/Player Contracts,10
S009,Bryan,Wansley,44,N/A,Football Operations,Director of Player Development,12
S010,Alex,Loomis,40,N/A,Scouting,Director of Pro Scouting,10
S011,Mitch,LaPoint,43,N/A,Scouting,Director of College Scouting,9
S012,Tyler,Boyles,38,N/A,Football Operations,Chief of Staff,8
S013,Jim,Maurer,52,N/A,Medical/Athletic Training,Head Athletic Trainer,15
S014,Scott,Sehnert,45,N/A,Strength & Conditioning,Director of Sports Performance,10
S015,Mike,McCord,50,N/A,Equipment,Equipment Director,20
S016,Mike,Adams,48,N/A,Football Operations,Director of Video,15
S017,John,Park,42,N/A,Football Operations,Vice President of Football Strategy and Operations,8
S018,Craig,Glieber,47,N/A,Football Operations,Director of Team Travel and Logistics,14
S019,Claire,Gilbert,34,N/A,Medical/Athletic Training,Performance Dietitian,5
S020,Jessica,Gaffney,30,N/A,Scouting,Personnel Coordinator,4
