key,value
Team Name,Dallas Cowboys
City,"Dallas, Texas"
Home Stadium,AT&T Stadium
Founded,1960
Conference,NFC
Division,East
Owner,Jerry Jones
President,Jerry Jones
General Manager,Jerry Jones
Head Coach,Brian Schottenheimer
Primary Colors,"Navy Blue, Silver, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
