id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Luke,Altmyer,23,N/A,2,QB,Illinois,0,Active,6-1,213
P002,Joshua,Dobbs,31,N/A,6,QB,Tennessee,9,Active,6-3,216
P003,Jared,Goff,31,N/A,16,QB,California,11,Active,6-4,217
P004,Jahmyr,Gibbs,24,N/A,0,RB,Alabama,4,Active,5-9,202
P005,Justin,Jackson,30,N/A,38,RB,Northwestern,6,Active,6-0,199
P006,Isiah,Pacheco,27,N/A,10,RB,Rutgers,5,Active,5-10,210
P007,Jacob,Saylors,26,N/A,25,RB,East Tennessee State,2,Active,5-11,195
P008,Jabari,Small,25,N/A,26,RB,Tennessee,1,Active,5-11,208
P009,Sione,Vaki,25,N/A,33,RB,Utah,3,Active,5-11,216
P010,Roydell,Williams,24,N/A,24,RB,Florida State,0,Active,5-10,223
P011,Trayveon,Williams,28,N/A,47,RB,Texas A&M,8,Active,5-8,206
P012,Tarik,Black,28,N/A,12,WR,Texas,1,Active,6-3,213
P013,Malik,Cunningham,27,N/A,15,WR,Louisville,2,Active,6-1,190
P014,Greg,Dortch,28,N/A,8,WR,Wake Forest,6,Active,5-7,183
P015,Lucky,Jackson,29,N/A,11,WR,Western Kentucky,1,Active,6-1,185
P016,Tom,Kennedy,30,N/A,85,WR,Bryant,4,Active,5-10,195
P017,Dominic,Lovett,23,N/A,19,WR,Georgia,2,Active,5-10,185
P018,Tay,Martin,28,N/A,17,WR,Oklahoma State,1,Active,6-3,186
P019,Jackson,Meeks,23,N/A,13,WR,Syracuse,1,Active,6-2,235
P020,Amon-Ra,St. Brown,26,N/A,14,WR,USC,6,Active,6-0,202
P021,Isaac,TeSlaa,24,N/A,18,WR,Arkansas,2,Active,6-4,214
P022,Jameson,Williams,25,N/A,1,WR,Alabama,5,Active,6-1,184
P023,Tyler,Conklin,31,N/A,83,TE,Central Michigan,9,Active,6-3,245
P024,Thomas,Gordon,25,N/A,82,TE,Northwestern,1,Active,6-4,250
P025,Zach,Horton,23,N/A,43,TE,Indiana,1,Active,6-4,256
P026,Sam,LaPorta,25,N/A,87,TE,Iowa,4,Active,6-3,245
P027,Brock,Wright,27,N/A,89,TE,Notre Dame,6,Active,6-5,254
P028,Gus,Hartwig,24,N/A,60,C,Purdue,2,Active,6-5,309
P029,Cade,Mays,27,N/A,64,C,Tennessee,5,Active,6-6,325
P030,Seth,McLaughlin,25,N/A,65,C,Ohio State,1,Active,6-4,304
P031,Ben,Bartch,28,N/A,78,OG,Saint John's (MN),7,Active,6-6,318
P032,Miles,Frazier,24,N/A,71,OG,LSU,2,Active,6-6,325
P033,Christian,Mahogany,25,N/A,73,OG,Boston College,3,Active,6-3,330
P034,Mason,Miller,24,N/A,63,OG,North Dakota State,1,Active,6-7,318
P035,Michael,Niese,28,N/A,62,OG,Temple,3,Active,6-5,300
P036,Tate,Ratledge,25,N/A,69,OG,Georgia,2,Active,6-6,322
P037,Juice,Scruggs,26,N/A,70,OG,Penn State,4,Active,6-3,320
P038,Larry,Borom,27,N/A,79,OT,Missouri,6,Active,6-5,325
P039,Devin,Cochran,28,N/A,77,OT,Georgia Tech,3,Active,6-7,322
P040,Giovanni,Manu,25,N/A,59,OT,British Columbia,3,Active,6-7,345
P041,Blake,Miller,22,N/A,76,OT,Clemson,0,Active,6-6,320
P042,Melvin,Priestly,22,N/A,74,OT,Illinois,0,Active,6-4,316
P043,Penei,Sewell,25,N/A,58,OT,Oregon,6,Active,6-5,335
P044,Colby,Sorsdal,26,N/A,75,OT,William & Mary,4,Active,6-6,315
P045,Myles,Adams,28,N/A,96,DE,Rice,4,Active,6-2,299
P046,Ahmed,Hassanein,24,N/A,99,DE,Boise State,1,Active,6-2,275
P047,Aidan,Hutchinson,26,N/A,97,DE,Michigan,5,Active,6-7,268
P048,Anthony,Lucas,21,N/A,61,DE,USC,0,Active,6-5,265
P049,Derrick,Moore,23,N/A,9,DE,Michigan,0,Active,6-3,260
P050,Eric,O'Neill,23,N/A,66,DE,Rutgers,0,Active,6-2,250
P051,Levi,Onwuzurike,28,N/A,95,DE,Washington,6,Active,6-3,304
P052,Skyler,Gill-Howard,23,N/A,50,DT,Texas Tech,0,Active,6-0,280
P053,Tyler,Lacy,26,N/A,93,DT,Oklahoma State,4,Active,6-4,300
P054,Alim,McNeill,26,N/A,54,DT,NC State,6,Active,6-2,310
P055,Chris,Smith,26,N/A,90,DT,Notre Dame,1,Active,6-1,320
P056,Ben,Stille,28,N/A,72,DT,Nebraska,3,Active,6-4,296
P057,Tyre,West,23,N/A,52,DT,Tennessee,0,Active,6-1,290
P058,Tyleik,Williams,23,N/A,91,DT,Ohio State,2,Active,6-3,325
P059,Mekhi,Wingo,23,N/A,94,DT,LSU,3,Active,6-0,282
P060,Joe,Bachie,28,N/A,35,LB,Michigan State,7,Active,6-2,238
P061,Derrick,Barnes,27,N/A,55,LB,Purdue,6,Active,6-0,240
P062,Jack,Campbell,26,N/A,46,LB,Iowa,4,Active,6-5,246
P063,Erick,Hunter,23,N/A,48,LB,Morgan State,0,Active,6-2,224
P064,Trevor,Nowaske,27,N/A,53,LB,Saginaw Valley State,4,Active,6-3,237
P065,Amen,Ogbongbemiga,27,N/A,57,LB,Oklahoma State,6,Active,6-0,231
P066,Troy,Reeder,31,N/A,51,LB,Delaware,7,Active,6-3,245
P067,Malcolm,Rodriguez,27,N/A,44,LB,Oklahoma State,5,Active,5-11,230
P068,Jimmy,Rolder,22,N/A,41,LB,Michigan,0,Active,6-2,238
P069,Devin,White,28,N/A,45,LB,LSU,8,Active,6-0,237
P070,DJ,Wonnum,28,N/A,98,LB,South Carolina,7,Active,6-5,262
P071,Keith,Abney II,21,N/A,28,CB,Arizona State,0,Active,5-9,187
P072,Ekow,Boye-Doe,26,N/A,43,CB,Kansas State,2,Active,6-0,177
P073,Aamaris,Brown,24,N/A,42,CB,UNLV,0,Active,5-10,198
P074,Ryan,Cooper Jr.,24,N/A,40,CB,Oregon State,1,Active,5-11,192
P075,Khalil,Dorsey,28,N/A,30,CB,Northern Arizona,6,Active,5-8,190
P076,Avonte,Maddox,30,N/A,29,CB,Pittsburgh,9,Active,5-9,191
P077,Roger,McCreary,26,N/A,21,CB,Auburn,5,Active,5-11,190
P078,Ennis,Rakestraw Jr.,24,N/A,2,CB,Missouri,3,Active,5-11,192
P079,D.J.,Reed,29,N/A,4,CB,Kansas State,9,Active,5-9,190
P080,Eric,Scott Jr.,28,N/A,20,CB,Southern Miss,0,Active,6-2,202
P081,Nick,Whiteside,26,N/A,38,CB,Saginaw Valley State,2,Active,6-1,200
P082,Rock,Ya-Sin,30,N/A,23,CB,Temple,8,Active,5-11,195
P083,Brian,Branch,24,N/A,32,S,Alabama,4,Active,6-0,203
P084,Chuck,Clark,31,N/A,36,S,Virginia Tech,10,Active,6-0,210
P085,Thomas,Harper,25,N/A,12,S,Notre Dame,3,Active,5-8,195
P086,Christian,Izien,26,N/A,27,S,Rutgers,4,Active,5-10,206
P087,Dan,Jackson,25,N/A,17,S,Georgia,2,Active,6-1,195
P088,Kerby,Joseph,25,N/A,31,S,Illinois,5,Active,6-0,210
P089,Jason,Taylor II,26,N/A,34,S,Oklahoma State,2,Active,6-0,204
P090,Jake,Bates,27,N/A,39,K,Arkansas,3,Active,5-10,205
P091,Jack,Fox,29,N/A,3,P,Rice,7,Active,6-2,218
P092,Hogan,Hatten,26,N/A,49,LS,Idaho,3,Active,6-2,239
P093,Kendrick,Law,22,N/A,88,WR,Kentucky,0,Injured Reserve,5-11,203
P094,Payton,Turner,27,N/A,92,DE,Houston,6,Injured Reserve,6-6,272
P095,Damone,Clark,26,N/A,11,LB,LSU,5,Injured Reserve,6-2,240
