id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,DeMeco,Ryans,41,N/A,Head Coach,Administration,4,10
C002,Nick,Caley,42,N/A,Offensive Coordinator,Offense,1,14
C003,Ben,McDaniels,43,N/A,Wide Receivers/Offensive Passing Game Coordinator,Offense,1,18
C004,Cole,Popovich,39,N/A,Offensive Line/Offensive Run Game Coordinator,Offense,1,12
C005,Jerry,Schuplinski,44,N/A,Quarterbacks Coach,Offense,1,16
C006,James,Ferentz,38,N/A,Tight Ends Coach,Offense,1,5
C007,Taylor,Embree,34,N/A,Offensive Assistant,Offense,1,8
C008,Asauni,Rufus,30,N/A,Offensive Assistant,Offense,1,4
C009,Alex,Ward,29,N/A,Offensive Assistant,Offense,1,3
C010,Cole,Weeks,28,N/A,Offensive Assistant,Offense,1,3
C011,Matt,Burke,49,N/A,Defensive Coordinator,Defense,1,20
C012,Cory,Undlin,55,N/A,Defensive Passing Game Coordinator,Defense,1,24
C013,Rod,Wright,47,N/A,Defensive Line/Defensive Run Game Coordinator,Defense,1,15
C014,Bill,Davis,63,N/A,Linebackers Coach,Defense,1,30
C015,Stephen,Adegoke,35,N/A,Safeties Coach,Defense,1,8
C016,Dino,Vasso,40,N/A,Defensive Backs Coach,Defense,1,12
C017,Frank,Okam,38,N/A,Assistant Defensive Line Coach,Defense,1,6
C018,Bill,Lazor,53,N/A,Senior Defensive Assistant,Defense,1,22
C019,Sean,Baker,33,N/A,Defensive/Special Teams Assistant,Defense,1,6
C020,Mark,Sheridan,45,N/A,Defensive Assistant,Defense,1,15
C021,Jay,Simpson,36,N/A,Defensive Assistant,Defense,1,8
C022,Frank,Ross,42,N/A,Special Teams Coordinator,Special Teams,1,15
C023,Will,Burnham,31,N/A,Assistant Special Teams Coach,Special Teams,1,6
C024,Danny,Barrett,55,N/A,Assistant Head Coach/Running Backs,Offense,6,28
C025,Tiquan,Underwood,39,N/A,Assistant Wide Receivers Coach,Offense,1,5
C026,Jake,Olson,33,N/A,Assistant to the Head Coach,Administration,3,8
