id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Azeez,Al-Shaair,29,N/A,0,LB,Florida Atlantic,7,Active,6-2,228
P002,Will,Anderson Jr.,24,N/A,51,DE,Alabama,3,Active,6-4,243
P003,Jake,Andrews,26,N/A,60,C,Troy,3,Active,6-3,308
P004,Dominic,Bailey,24,N/A,73,DT,Tennessee,0,Active,6-3,292
P005,Reed,Blankenship,27,N/A,6,S,Middle Tennessee State,4,Active,6-1,203
P006,Lewis,Bond,23,N/A,82,WR,Boston College,0,Active,5-11,190
P007,Kayshon,Boutte,24,N/A,88,WR,LSU,3,Active,5-11,203
P008,Austin,Brinkman,24,N/A,40,LS,West Virginia,1,Active,6-4,241
P009,British,Brooks,26,N/A,44,RB,North Carolina,2,Active,5-11,225
P010,Evan,Brown,29,N/A,67,OG,SMU,7,Active,6-3,320
P011,Trent,Brown,33,N/A,77,OT,Florida,11,Active,6-8,380
P012,Calen,Bullock,23,N/A,2,S,USC,2,Active,6-3,190
P013,Solomon,Byrd,26,N/A,50,DE,USC,0,Active,6-3,250
P014,Jadeveon,Clowney,33,N/A,90,DE,South Carolina,12,Active,6-5,266
P015,Brandon,Codrington,25,N/A,17,CB,North Carolina Central,2,Active,5-9,185
P016,Nico,Collins,27,N/A,12,WR,Michigan,5,Active,6-4,222
P017,Eli,Cox,25,N/A,65,C,Kentucky,0,Active,6-4,309
P018,Tank,Dell,26,N/A,1,WR,Houston,3,Active,5-10,165
P019,Mario,Edwards Jr.,32,N/A,97,DT,Florida State,10,Active,6-3,280
P020,Aireontae,Ersery,24,N/A,79,OT,Minnesota,1,Active,6-6,330
P021,Ka'imi,Fairbairn,32,N/A,15,K,UCLA,10,Active,6-0,183
P022,Aiden,Fisher,22,N/A,59,LB,Indiana,0,Active,6-1,231
P023,Blake,Fisher,23,N/A,57,OT,Notre Dame,2,Active,6-6,312
P024,Ali,Gaye,27,N/A,95,DE,LSU,2,Active,6-6,265
P025,Sam,Hagen,23,N/A,76,OT,South Dakota State,0,Active,6-6,320
P026,Bryce,Hall,28,N/A,34,CB,Virginia,5,Active,6-1,202
P027,Logan,Hall,26,N/A,96,DE,Houston,4,Active,6-6,283
P028,Stephen,Hall,24,N/A,41,CB,Missouri,0,Active,6-0,202
P029,Kyonte,Hamilton,23,N/A,58,DT,Rutgers,1,Active,6-4,304
P030,Jake,Hansen,28,N/A,35,LB,Illinois,4,Active,6-1,230
P031,Louis,Hansen,24,N/A,47,TE,Connecticut,0,Active,6-5,240
P032,Sabastian,Harsh,24,N/A,74,DE,NC State,0,Active,6-2,255
P033,Jamal,Hill,25,N/A,56,LB,Oregon,2,Active,6-0,227
P034,Jake,Hummel,27,N/A,33,LB,Iowa State,4,Active,6-1,229
P035,Danielle,Hunter,31,N/A,55,DE,LSU,11,Active,6-5,263
P036,Xavier,Hutchinson,26,N/A,19,WR,Iowa State,3,Active,6-3,210
P037,Alijah,Huzzie,25,N/A,28,CB,North Carolina,0,Active,5-10,195
P038,Ed,Ingram,27,N/A,69,OG,LSU,4,Active,6-3,307
P039,Ja'Marcus,Ingram,28,N/A,20,S,Buffalo,2,Active,6-2,190
P040,Caleb,Johnson,28,N/A,53,LB,Houston Christian University,5,Active,6-2,227
P041,Zay,Jones,31,N/A,18,WR,East Carolina,8,Active,6-2,200
P042,Naquan,Jones,28,N/A,91,DT,Michigan State,5,Active,6-3,313
P043,Brevin,Jordan,26,N/A,9,TE,Miami (Fla.),5,Active,6-3,245
P044,Jawhar,Jordan,27,N/A,25,RB,Louisville,0,Active,5-10,185
P045,Josh,Kelly,25,N/A,85,WR,Texas Tech,0,Active,6-1,192
P046,Jarrett,Kingston,26,N/A,63,OT,USC,2,Active,6-4,308
P047,Marlin,Klein,23,N/A,83,TE,Michigan,0,Active,6-6,250
P048,Kai,Kroeger,24,N/A,38,P,South Carolina,1,Active,6-3,213
P049,Kamari,Lassiter,23,N/A,3,CB,Georgia,2,Active,6-0,180
P050,Woody,Marks,25,N/A,4,RB,USC,1,Active,5-10,208
P051,Kayden,McDonald,21,N/A,93,DT,Ohio State,0,Active,6-3,326
P052,Kaevon,Merriweather,26,N/A,21,S,Iowa,3,Active,6-0,212
P053,Davis,Mills,27,N/A,10,QB,Stanford,5,Active,6-4,225
P054,David,Montgomery,29,N/A,32,RB,Iowa State,7,Active,5-11,230
P055,Foster,Moreau,29,N/A,87,TE,LSU,7,Active,6-4,250
P056,James,Neal III,23,N/A,70,OT,Iowa State,0,Active,6-6,325
P057,Jaylin,Noel,23,N/A,13,WR,Iowa State,1,Active,5-11,201
P058,Febechi,Nwaiwu,23,N/A,64,OG,Oklahoma,0,Active,6-4,319
P059,George,Odum,32,N/A,36,S,Central Arkansas,8,Active,6-1,202
P060,Derek,Parish,27,N/A,78,DE,Houston,0,Active,6-1,241
P061,Jarrett,Patterson,26,N/A,54,OG,Notre Dame,3,Active,6-4,310
P062,Jalen,Pitre,27,N/A,5,S,Baylor,4,Active,6-0,200
P063,Layne,Pryor,23,N/A,49,TE,Northern Iowa,0,Active,6-2,250
P064,Kamari,Ramsey,22,N/A,27,S,USC,0,Active,6-0,205
P065,Sheldon,Rankins,32,N/A,98,DT,Louisville,10,Active,6-2,305
