id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Cal,McNair,64,N/A,Ownership,Chair and Chief Executive Officer,24
S002,Nick,Caserio,50,N/A,Football Operations,Executive Vice President and General Manager,6
S003,Mike,Tomon,58,N/A,Front Office/Executive,President,5
S004,Joe,Vernon,45,N/A,Football Operations,Senior Vice President of Football Operations,8
S005,Greg,Kondritz,50,N/A,Front Office/Executive,"Executive Vice President, Chief Administrative Officer and General Counsel",10
S006,Marilan,Logan,52,N/A,Business Operations,"Senior Vice President, Chief Financial Officer and Treasurer",12
S007,Juan,Rodriguez,48,N/A,Stadium Operations,Senior Vice President and Chief Venue Officer,9
S008,Scott,Shepherd,47,N/A,Business Operations,Chief Revenue Officer,7
S009,Doug,Vosik,50,N/A,Marketing,Senior Vice President and Chief Marketing Officer,8
S010,Jerry,Angel,46,N/A,Business Operations,"Senior Vice President, Commercial Development",9
S011,Steve,Johnson,49,N/A,Front Office/Executive,Chief Planning Officer,6
S012,Ben,Wang,40,N/A,Analytics,"Senior Vice President, Business Analytics and Insights",5
S013,Hannah,McNair,60,N/A,Ownership,Chief Community Officer and Vice President of the Houston Texans Foundation,24
S014,Jeff,Schmitz,48,N/A,Business Operations,Vice President and Chief Information Officer,10
S015,Karla,Yuha,45,N/A,Human Resources,Vice President of Human Resources,8
S016,David,Fletcher,46,N/A,Business Operations,General Manager of Lone Star Sports and Entertainment,7
S017,DJ,Debick,42,N/A,Scouting,Director of Player Personnel,6
S018,Tom,Hayden,44,N/A,Scouting,Director of College Scouting Operations,7
S019,Mozique,McCurtis,40,N/A,Scouting,Director of College Scouting,5
S020,Steve,Cargile,43,N/A,Scouting,Director of Pro Scouting,6
S021,Roland,Ramirez,52,N/A,Medical/Athletic Training,Director of Sports Medicine/Head Athletic Trainer,12
