key,value
Team Name,Indianapolis Colts
City,"Indianapolis, Indiana"
Home Stadium,Lucas Oil Stadium
Founded,1953
Conference,AFC
Division,South
Owner,Carlie Irsay-Gordon
General Manager,Chris Ballard
Head Coach,Shane Steichen
Primary Colors,"Speed Blue, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from colts.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against colts.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
