key,value
Team Name,Jacksonville Jaguars
City,"Jacksonville, Florida"
Home Stadium,EverBank Stadium
Founded,1993
Conference,AFC
Division,South
Owner,Shad Khan
President,Mark Lamping
General Manager,James Gladstone
Head Coach,Liam Coen
Primary Colors,"Teal, Black, Gold"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from jaguars.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against jaguars.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
