id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Justin,Fields,27,N/A,6,QB,Ohio State,6,Active,6-3,227
P002,Patrick,Mahomes,30,N/A,15,QB,Texas Tech,10,Active,6-2,225
P003,Garrett,Nussmeier,24,N/A,14,QB,LSU,0,Active,6-1,205
P004,Chris,Oladokun,28,N/A,19,QB,South Dakota State,1,Active,6-1,213
P005,Emari,Demercado,27,N/A,25,RB,TCU,4,Active,5-9,215
P006,Emmett,Johnson,22,N/A,10,RB,Nebraska,0,Active,5-11,200
P007,Jaydn,Ott,23,N/A,42,RB,Oklahoma,0,Active,5-11,208
P008,Brashard,Smith,23,N/A,24,RB,SMU,2,Active,5-10,196
P009,EJ,Smith,24,N/A,35,RB,Texas A&M,0,Active,5-11,211
P010,Kenneth,Walker III,25,N/A,9,RB,Michigan State,5,Active,5-9,211
P011,Cyrus,Allen,23,N/A,13,WR,Cincinnati,0,Active,5-11,180
P012,Andrew,Armstrong,25,N/A,85,WR,Arkansas,1,Active,6-4,210
P013,Jason,Brownlee,27,N/A,89,WR,Southern Miss,3,Active,6-3,202
P014,Jacob,De Jesus,24,N/A,80,WR,California,0,Active,5-7,170
P015,Omari,Evans,22,N/A,63,WR,Washington,0,Active,6-0,195
P016,Jimmy,Holiday,24,N/A,82,WR,Louisiana Tech,1,Active,6-1,211
P017,Xavier,Loyd,23,N/A,17,WR,Missouri,0,Active,6-2,196
P018,Nikko,Remigio,26,N/A,81,WR,Fresno State,2,Active,5-9,187
P019,Rashee,Rice,26,N/A,4,WR,SMU,4,Active,6-1,204
P020,Jalen,Royals,23,N/A,11,WR,Utah State,2,Active,6-0,195
P021,Tyquan,Thornton,26,N/A,2,WR,Baylor,5,Active,6-2,185
P022,Jeff,Weimer,23,N/A,5,WR,West Virginia,0,Active,6-2,211
P023,Xavier,Worthy,23,N/A,1,WR,Texas,3,Active,5-11,165
P024,Jake,Briningstool,23,N/A,88,TE,Clemson,2,Active,6-6,240
P025,Noah,Gray,27,N/A,83,TE,Duke,6,Active,6-3,240
P026,Travis,Kelce,36,N/A,87,TE,Cincinnati,14,Active,6-5,250
P027,Mason,Pline,26,N/A,46,TE,Furman,2,Active,6-7,260
P028,Tre,Watson,23,N/A,49,TE,Texas A&M,1,Active,6-5,250
P029,Jared,Wiley,25,N/A,12,TE,TCU,3,Active,6-6,249
P030,Creed,Humphrey,27,N/A,52,C,Oklahoma,6,Active,6-4,302
P031,Hunter,Nourzad,25,N/A,64,C,Penn State,3,Active,6-3,317
P032,Mike,Caliendo,28,N/A,66,OG,Western Michigan,4,Active,6-4,301
P033,Joshua,Ezeudu,26,N/A,75,OG,North Carolina,5,Active,6-4,308
P034,C.J.,Hanson,25,N/A,61,OG,Holy Cross,3,Active,6-5,300
P035,Trey,Smith,27,N/A,65,OG,Tennessee,6,Active,6-6,321
P036,Josh,Thompson,23,N/A,62,OG,LSU,0,Active,6-5,315
P037,Kahlil,Benson,24,N/A,70,OT,Indiana,0,Active,6-6,319
P038,Ethan,Driskell,26,N/A,78,OT,Marshall,2,Active,6-8,313
P039,Chukwuebuka,Godrick,25,N/A,72,OT,N/A,1,Active,6-5,293
P040,Jaylon,Moore,28,N/A,77,OT,Western Michigan,6,Active,6-4,311
P041,Pete,Nygra,23,N/A,74,OT,Louisville,0,Active,6-4,300
P042,Esa,Pole,25,N/A,79,OT,Washington State,2,Active,6-7,319
P043,Josh,Simmons,23,N/A,71,OT,Ohio State,2,Active,6-5,310
P044,Kingsley,Suamataia,23,N/A,76,OT,BYU,3,Active,6-4,326
P045,Vincent,Anthony Jr.,22,N/A,98,DE,Duke,0,Active,6-6,260
P046,Felix,Anudike-Uzomah,24,N/A,91,DE,Kansas State,4,Active,6-4,255
