id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,Klint,Kubiak,39,N/A,Head Coach,Administration,1,14
C002,Mike,McCoy,53,N/A,Assistant Head Coach,Administration,1,24
C003,Matt,Capurro,48,N/A,Senior Vice President of Coaching Operations,Administration,3,23
C004,Rohit,Mogalayapalli,34,N/A,Director of Game Management & Special Projects,Administration,2,8
C005,Andrew,Janocko,38,N/A,Offensive Coordinator,Offense,1,13
C006,Zach,Azzanni,52,N/A,Wide Receivers Coach,Offense,1,10
C007,Rick,Dennison,64,N/A,Offensive Line Coach,Offense,1,30
C008,Nick,Holz,42,N/A,Offensive Pass Game Coordinator,Offense,1,14
C009,Mario,Jeberaeel,38,N/A,Offensive Run Game Coordinator,Offense,1,6
C010,Luke,Steckel,42,N/A,Tight Ends Coach,Offense,1,17
C011,Mike,Sullivan,56,N/A,Quarterbacks Coach,Offense,1,21
C012,Ben,Wilkerson,40,N/A,Assistant Offensive Line Coach,Offense,1,15
C013,Omar,Young,42,N/A,Running Backs Coach,Offense,1,17
C014,Pete,Collins,29,N/A,Offensive Quality Control Coach,Offense,1,1
C015,Conner,McQueen,29,N/A,Offensive Quality Control Coach,Offense,1,2
C016,Tim,Zetts,32,N/A,Offensive Assistant,Offense,1,5
C017,Torrey,Gill,30,N/A,Offensive Quality Control Coach,Offense,1,3
C018,Rob,Leonard,38,N/A,Defensive Coordinator,Defense,4,14
C019,Al,Holcomb,52,N/A,Senior Defensive Assistant,Defense,1,18
C020,Travis,Smith,45,N/A,Defensive Line Coach,Defense,1,15
C021,Joe,Woods,55,N/A,Pass Game Coordinator/Defensive Backs Coach,Defense,1,23
C022,Ronell,Williams,38,N/A,Linebackers Coach,Defense,1,8
C023,Matt,Robinson,37,N/A,Safeties Coach,Defense,1,6
C024,Kenyon,Jackson,33,N/A,Assistant Defensive Line Coach,Defense,1,4
C025,Steve,Ferentz,34,N/A,Defensive Assistant,Defense,1,5
C026,Drew,Gaither,28,N/A,Defensive Quality Control Coach,Defense,1,1
C027,Cody,Grimm,38,N/A,Defensive Quality Control Coach,Defense,1,6
C028,Ketner,Kupp,27,N/A,Defensive Quality Control Coach,Defense,1,1
C029,Joe,DeCamillis,60,N/A,Special Teams Coordinator,Special Teams,1,35
C030,Marquice,Williams,40,N/A,Senior Special Teams Coach,Special Teams,1,12
C031,Tim,McConnell,29,N/A,Assistant Special Teams Coach,Special Teams,1,1
C032,A.J.,Neibel,48,N/A,Head Strength and Conditioning Coach,Strength & Conditioning,1,22
C033,Rick,Slate,38,N/A,Assistant Head Strength and Conditioning Coach,Strength & Conditioning,1,9
C034,Deuce,Gruden,35,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,1,11
C035,Matthew,Fyle,30,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,1,4
C036,Haley,Roberts,28,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,1,3
C037,Tevin,Duncan,27,N/A,Assistant Strength and Conditioning Coach,Strength & Conditioning,1,2
