id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Jacob,Clark,25,N/A,16,QB,Missouri State,0,Active,6-5,220
P002,Kirk,Cousins,38,N/A,8,QB,Michigan State,15,Active,6-3,209
P003,Fernando,Mendoza,22,N/A,15,QB,Indiana,0,Active,6-5,225
P004,Aidan,O'Connell,27,N/A,12,QB,Purdue,4,Active,6-3,206
P005,Roman,Hemby,24,N/A,37,RB,Indiana,0,Active,6-0,210
P006,Ashton,Jeanty,22,N/A,2,RB,Boise State,2,Active,5-8,208
P007,Dylan,Laube,26,N/A,23,RB,New Hampshire,3,Active,5-9,204
P008,Dare,Ogunbowale,32,N/A,32,RB,Wisconsin,9,Active,5-10,205
P009,Mike,Washington Jr.,23,N/A,30,RB,Arkansas,0,Active,6-2,228
P010,Connor,Heyward,27,N/A,34,FB,Michigan State,5,Active,6-0,230
P011,Jack,Bech,23,N/A,18,WR,TCU,2,Active,6-1,214
P012,Malik,Benson,23,N/A,19,WR,Oregon,0,Active,6-1,195
P013,Phillip,Dorsett II,33,N/A,13,WR,Miami,9,Active,5-10,185
P014,Shedrick,Jackson,26,N/A,4,WR,Auburn,1,Active,6-1,198
P015,Brandon,Johnson,28,N/A,82,WR,UCF,3,Active,6-2,195
P016,Jalen,Nailor,27,N/A,9,WR,Michigan State,5,Active,6-0,190
P017,Chase,Roberts,25,N/A,86,WR,BYU,0,Active,6-4,210
P018,Deven,Thompkins,26,N/A,83,WR,Utah State,5,Active,5-8,155
P019,Dont'e,Thornton Jr.,23,N/A,10,WR,Tennessee,2,Active,6-5,205
P020,Tre,Tucker,25,N/A,1,WR,Cincinnati,4,Active,5-8,182
P021,E.J.,Williams Jr.,24,N/A,88,WR,Indiana,0,Active,6-4,205
P022,Dareke,Young,27,N/A,81,WR,Lenoir-Rhyne,5,Active,6-2,224
P023,Brock,Bowers,23,N/A,89,TE,Georgia,3,Active,6-4,235
P024,Patrick,Gurd,24,N/A,45,TE,Cincinnati,0,Active,6-4,250
P025,Michael,Mayer,25,N/A,87,TE,Notre Dame,4,Active,6-4,256
P026,Chris,Myarick,30,N/A,41,TE,Temple,5,Active,6-5,261
P027,Albert,Okwuegbunam Jr.,28,N/A,85,TE,Missouri,6,Active,6-5,258
P028,Carter,Runyon,25,N/A,84,TE,Towson,2,Active,6-4,243
P029,Ian,Thomas,30,N/A,80,TE,Indiana,9,Active,6-3,253
P030,Tyler,Linderbaum,26,N/A,65,C,Iowa,5,Active,6-2,305
P031,Jordan,Meredith,28,N/A,61,C,Western Kentucky,4,Active,6-2,301
P032,Will,Putnam,26,N/A,67,C,Clemson,2,Active,6-4,301
P033,Trey,Zuhn III,23,N/A,66,C,Texas A&M,0,Active,6-7,319
P034,Spencer,Burford,26,N/A,70,OG,UTSA,5,Active,6-4,300
P035,Atonio,Mafi,25,N/A,56,OG,UCLA,2,Active,6-3,330
P036,Jackson,Powers-Johnson,23,N/A,58,OG,Oregon,3,Active,6-3,325
P037,Caleb,Rogers,24,N/A,76,OG,Texas Tech,2,Active,6-4,312
P038,Braeden,Daniels,26,N/A,79,OT,Utah,3,Active,6-4,305
P039,DJ,Glaze,24,N/A,71,OT,Maryland,3,Active,6-4,331
P040,Charles,Grant,24,N/A,60,OT,William & Mary,2,Active,6-4,304
P041,Niklas,Henning,23,N/A,73,OT,N/A,0,Active,6-6,287
P042,Isaiah,Jatta,24,N/A,72,OT,BYU,0,Active,6-6,315
P043,Kolton,Miller,30,N/A,74,OT,UCLA,9,Active,6-8,326
P044,Kamar,Missouri,24,N/A,62,OT,UTSA,0,Active,6-5,310
P045,Dalton,Wagner,27,N/A,78,OT,Arkansas,2,Active,6-8,318
P046,Keyron,Crawford,22,N/A,42,DE,Auburn,0,Active,6-4,253
P047,Maxx,Crosby,29,N/A,98,DE,Eastern Michigan,8,Active,6-5,255
P048,Jahfari,Harvey,25,N/A,91,DE,SMU,1,Active,6-2,255
P049,Patrick,Johnson,28,N/A,93,DE,Tulane,6,Active,6-2,248
P050,Malcolm,Koonce,28,N/A,51,DE,Buffalo,6,Active,6-3,243
P051,Kwity,Paye,27,N/A,95,DE,Michigan,6,Active,6-3,265
P052,Cian,Slone,23,N/A,48,DE,NC State,0,Active,6-3,239
P053,Thomas,Booker IV,26,N/A,99,DT,Stanford,4,Active,6-3,301
P054,Adam,Butler,32,N/A,69,DT,Vanderbilt,9,Active,6-4,301
P055,Brandon,Cleveland,22,N/A,90,DT,NC State,0,Active,6-4,315
P056,Folorunso,Fatukasi,31,N/A,63,DT,UConn,8,Active,6-4,318
P057,Tonka,Hemingway,24,N/A,97,DT,South Carolina,2,Active,6-2,284
P058,Jonah,Laulu,26,N/A,96,DT,Oklahoma,3,Active,6-5,289
P059,Treven,Ma'ae,25,N/A,68,DT,Baylor,1,Active,6-3,291
P060,JJ,Pegues,24,N/A,92,DT,Ole Miss,2,Active,6-2,325
P061,Gary,Smith III,24,N/A,75,DT,UCLA,0,Active,6-1,319
P062,Nakobe,Dean,25,N/A,17,LB,Georgia,5,Active,5-11,230
P063,Tommy,Eichenberg,25,N/A,44,LB,Ohio State,3,Active,6-2,234
P064,Buddy,Johnson,27,N/A,59,LB,Texas A&M,5,Active,6-2,240
P065,Cody,Lindenberg,24,N/A,55,LB,Minnesota,2,Active,6-2,236
P066,Cameron,McGrone,26,N/A,57,LB,Michigan,3,Active,6-3,236
P067,Segun,Olubi,26,N/A,50,LB,San Diego State,4,Active,6-2,220
P068,Xavian,Sorey Jr.,24,N/A,53,LB,Arkansas,0,Active,6-2,228
P069,Quay,Walker,26,N/A,7,LB,Georgia,5,Active,6-4,240
P070,Taron,Johnson,30,N/A,3,CB,Weber State,9,Active,5-11,192
P071,Hezekiah,Masses,22,N/A,35,CB,California,0,Active,6-1,185
P072,Jermod,McCoy,21,N/A,28,CB,Tennessee,0,Active,6-0,193
P073,Caleb,Offord,24,N/A,39,CB,Kennesaw State,0,Active,6-2,198
P074,Darien,Porter,25,N/A,26,CB,Iowa State,2,Active,6-2,195
P075,Decamerion,Richardson,25,N/A,25,CB,Mississippi State,3,Active,6-2,192
P076,Eric,Stokes,27,N/A,5,CB,Georgia,6,Active,6-1,193
P077,Greedy,Vance,24,N/A,22,CB,USC,2,Active,5-9,177
P078,Jeremy,Chinn,28,N/A,11,S,Southern Illinois,7,Active,6-3,220
P079,Dalton,Johnson,23,N/A,43,S,Arizona,0,Active,5-11,198
P080,Devin,Lafayette,24,N/A,40,S,Troy,0,Active,6-2,210
P081,Tristin,McCollum,27,N/A,27,S,Sam Houston,3,Active,6-3,195
P082,Devyn,Perkins,24,N/A,49,S,Utah Tech,0,Active,5-10,195
P083,Isaiah,Pola-Mao,27,N/A,20,S,USC,5,Active,6-3,204
P084,Treydan,Stukes,24,N/A,31,S,Arizona,0,Active,6-2,200
P085,Matt,Gay,32,N/A,14,K,Utah,7,Active,6-0,232
P086,Kansei,Matsuzawa,27,N/A,38,K,Hawai'i,0,Active,6-2,200
P087,AJ,Cole,30,N/A,6,P,NC State,8,Active,6-4,220
P088,Tyler,Duzansky,23,N/A,46,LS,Penn State,0,Active,6-4,225
P089,Alex,Ward,27,N/A,47,LS,UCF,4,Active,6-4,240
P090,Chris,Collier,26,N/A,33,RB,Lock Haven,2,Injured Reserve,5-10,203
P091,Corey,Rucker,24,N/A,21,WR,Arkansas State,0,Injured Reserve,6-0,213
P092,Justin,Shorter,26,N/A,24,WR,Florida,4,Injured Reserve,6-4,227
P093,Justin,Pickett,23,N/A,77,OG,Duke,0,Injured Reserve,6-7,317
P094,Brennan,Jackson,25,N/A,54,LB,Washington State,3,Injured Reserve,6-4,263
P095,Chigozie,Anusiem,25,N/A,29,CB,Colorado State,2,Injured Reserve,6-1,200
