id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Justin,Herbert,28,N/A,10,QB,Oregon,7,Active,6-6,236
P002,Trey,Lance,26,N/A,5,QB,North Dakota State,6,Active,6-4,226
P003,DJ,Uiagalelei,25,N/A,7,QB,Florida State,1,Active,6-4,252
P004,Greg,Desrosiers Jr.,25,N/A,31,RB,Memphis,0,Active,5-11,200
P005,Omarion,Hampton,23,N/A,8,RB,North Carolina,2,Active,6-0,220
P006,Amar,Johnson,23,N/A,35,RB,South Dakota State,1,Active,5-10,205
P007,Keaton,Mitchell,24,N/A,34,RB,East Carolina,4,Active,5-8,191
P008,Jaret,Patterson,26,N/A,32,RB,Buffalo,3,Active,5-8,195
P009,Kimani,Vidal,24,N/A,28,RB,Troy,3,Active,5-8,215
P010,Alec,Ingold,30,N/A,30,FB,Wisconsin,8,Active,6-1,240
P011,Scott,Matlock,26,N/A,44,FB,Boise State,4,Active,6-4,296
P012,Sincere,Brown,24,N/A,38,WR,Colorado,0,Active,6-5,190
P013,Dalevon,Campbell,24,N/A,81,WR,South Carolina,2,Active,6-4,220
P014,Liam,Clifford,23,N/A,17,WR,Penn State,0,Active,6-1,206
P015,Derius,Davis,25,N/A,12,WR,TCU,4,Active,5-8,165
P016,Tre',Harris,24,N/A,9,WR,Ole Miss,2,Active,6-3,210
P017,JaQuae,Jackson,26,N/A,82,WR,Rutgers,2,Active,6-1,184
P018,Gary,Jennings,29,N/A,14,WR,West Virginia,3,Active,6-1,214
P019,Quentin,Johnston,24,N/A,1,WR,TCU,4,Active,6-2,208
P020,KeAndre,Lambert-Smith,24,N/A,84,WR,Auburn,2,Active,6-1,182
P021,Ladd,McConkey,24,N/A,15,WR,Georgia,3,Active,6-0,185
P022,Devonte,Ross,23,N/A,24,WR,Penn State,0,Active,5-10,170
P023,Brenen,Thompson,23,N/A,89,WR,Mississippi State,0,Active,5-9,170
P024,Jerand,Bradley,23,N/A,36,TE,Kansas State,0,Active,6-5,223
P025,Oronde,Gadsden,23,N/A,86,TE,Syracuse,2,Active,6-5,236
P026,Charlie,Kolar,27,N/A,88,TE,Iowa State,5,Active,6-6,250
P027,David,Njoku,30,N/A,83,TE,Miami,12,Active,6-4,246
P028,Johnny,Pascuzzi,24,N/A,42,TE,Tulane,0,Active,6-4,241
P029,Evan,Svoboda,23,N/A,49,TE,Wyoming,0,Active,6-5,251
P030,Josh,Kaltenberger,25,N/A,68,C,Maryland,1,Active,6-6,308
P031,Jake,Slaughter,23,N/A,66,C,Florida,0,Active,6-5,308
P032,Jacob,Spomer,25,N/A,60,C,Fresno State,0,Active,6-3,290
