key,value
Team Name,Los Angeles Chargers
City,"Los Angeles, California"
Home Stadium,SoFi Stadium
Founded,1960
Conference,AFC
Division,West
Owner,Dean Spanos
President,John Spanos
General Manager,Joe Hortiz
Head Coach,Jim Harbaugh
Primary Colors,"Powder Blue, Navy Blue, Gold"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
