id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,Jeff,Hafley,47,N/A,Head Coach,Administration,1,20
C002,Bobby,Slowik,39,N/A,Offensive Coordinator,Offense,1,14
C003,Matt,Applebaum,33,N/A,Assistant Offensive Line Coach,Offense,2,8
C004,Ladell,Betts,44,N/A,Running Backs Coach,Offense,3,10
C005,CJ,Conrad,29,N/A,Offensive Assistant,Offense,1,3
C006,Bush,Hamdan,42,N/A,Quarterbacks Coach,Offense,2,15
C007,Lemuel,Jeanpierre,37,N/A,Assistant Tight Ends Coach,Offense,2,6
C008,Jonathan,Krause,34,N/A,Assistant Wide Receivers Coach,Offense,2,6
C009,Ron,Middleton,60,N/A,Tight Ends Coach,Offense,5,25
C010,Kevin,Patullo,46,N/A,Passing Game Coordinator,Offense,3,18
C011,Tyke,Tolbert,58,N/A,Wide Receivers Coach,Offense,4,25
C012,Leander,Wallace,30,N/A,Offensive Assistant,Offense,1,4
C013,Zach,Yenser,40,N/A,Offensive Line Coach,Offense,2,12
C014,Sean,Duggan,44,N/A,Defensive Coordinator,Defense,1,16
C015,Jahmile,Addae,45,N/A,Defensive Backs/Cornerbacks Coach,Defense,2,15
C016,Joe,Barry,55,N/A,Run Game Coordinator/Senior Defensive Assistant,Defense,1,25
C017,Austin,Clark,38,N/A,Defensive Line Coach,Defense,2,10
C018,Wendel,Davis,33,N/A,Assistant Linebackers Coach,Defense,1,6
C019,Siriki,Diabate,29,N/A,Defensive Quality Control Coach,Defense,1,4
C020,Ryan,Downard,36,N/A,Defensive Backs/Passing Game Coordinator,Defense,2,9
C021,Chuka,Ndulue,32,N/A,Assistant Defensive Line Coach,Defense,1,6
C022,DeShawn,Shead,38,N/A,Assistant Defensive Backs/Nickels Coach,Defense,2,6
C023,Al,Washington,34,N/A,Linebackers Coach,Defense,2,8
C024,Chris,Tabor,55,N/A,Special Teams Coordinator,Special Teams,2,25
C025,Brock,Olivo,50,N/A,Assistant Special Teams Coach,Special Teams,3,15
C026,Darius,Eubanks,31,N/A,Special Teams Assistant,Special Teams,1,5
