id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Quinn,Ewers,23,N/A,14,QB,Texas,2,Active,6-2,209
P002,Mark,Gronowski,24,N/A,16,QB,Iowa,0,Active,6-2,226
P003,Cam,Miller,25,N/A,15,QB,North Dakota State,1,Active,6-1,211
P004,Malik,Willis,27,N/A,2,QB,Liberty,5,Active,6-1,225
P005,De'Von,Achane,24,N/A,28,RB,Texas A&M,4,Active,5-9,191
P006,Coleman,Bennett,23,N/A,38,RB,Kennesaw State,0,Active,5-11,185
P007,Donovan,Edwards,23,N/A,36,RB,Michigan,1,Active,6-1,212
P008,Ollie,Gordon II,22,N/A,0,RB,Oklahoma State,2,Active,6-2,225
P009,Jarquez,Hunter,23,N/A,39,RB,Auburn,2,Active,5-10,211
P010,Carlos,Washington Jr.,27,N/A,37,RB,Southeastern Louisiana,1,Active,5-11,210
P011,Jaylen,Wright,23,N/A,5,RB,Tennessee,3,Active,5-10,208
P012,DJ,Herman,24,N/A,34,FB,San Diego State,0,Active,6-2,235
P013,Chris,Bell,22,N/A,18,WR,Louisville,0,Active,6-2,220
P014,Kevin,Coleman Jr.,22,N/A,83,WR,Missouri,0,Active,5-10,180
P015,Caleb,Douglas,22,N/A,7,WR,Texas Tech,0,Active,6-4,205
P016,AJ,Henning,24,N/A,88,WR,Northwestern,1,Active,5-10,192
P017,Terrace,Marshall Jr.,26,N/A,86,WR,LSU,5,Active,6-2,200
P018,Donaven,McCulley,23,N/A,80,WR,Michigan,0,Active,6-4,203
P019,Ryan,Miller,26,N/A,84,WR,Furman,3,Active,6-2,221
P020,Jalen,Reagor,27,N/A,17,WR,TCU,7,Active,5-11,197
P021,Jalen,Tolbert,27,N/A,1,WR,South Alabama,5,Active,6-1,195
P022,Malik,Washington,25,N/A,6,WR,Virginia,3,Active,5-8,195
P023,Theo,Wease Jr.,25,N/A,81,WR,Missouri,1,Active,6-2,210
P024,Ethan,Conner,23,N/A,30,TE,Troy,0,Active,6-4,245
P025,Greg,Dulcich,26,N/A,85,TE,UCLA,5,Active,6-4,245
P026,Jeremiah,Franklin,22,N/A,41,TE,Boston College,0,Active,6-3,246
P027,Will,Kacmarek,23,N/A,82,TE,Ohio State,0,Active,6-6,258
P028,Ben,Sims,26,N/A,89,TE,Baylor,4,Active,6-5,250
P029,Seydou,Traore,24,N/A,49,TE,Mississippi State,0,Active,6-4,235
P030,Aaron,Brewer,28,N/A,55,C,Texas State,7,Active,6-1,295
P031,Andrew,Meyer,26,N/A,60,C,UTEP,3,Active,6-3,295
P032,DJ,Campbell,22,N/A,63,OG,Texas,0,Active,6-3,321
P033,Josh,Priebe,25,N/A,68,OG,Michigan,1,Active,6-5,306
P034,Jonah,Savaiinaea,22,N/A,71,OG,Arizona,2,Active,6-5,326
P035,Gottlieb,Ayedze,26,N/A,72,OT,Maryland,1,Active,6-4,309
P036,Kevin,Cline,25,N/A,79,OT,Boston College,0,Active,6-6,316
P037,Marques,Cox,26,N/A,70,OT,Kentucky,1,Active,6-5,312
P038,Charlie,Heck,29,N/A,67,OT,North Carolina,7,Active,6-8,311
P039,Austin,Jackson,27,N/A,73,OT,USC,7,Active,6-5,310
P040,Patrick,Paul,24,N/A,52,OT,Houston,3,Active,6-7,326
P041,Kadyn,Proctor,21,N/A,74,OT,Alabama,0,Active,6-7,352
P042,Caedan,Wallace,26,N/A,75,OT,Penn State,3,Active,6-5,314
P043,Robert,Beal Jr.,26,N/A,51,DE,Georgia,4,Active,6-4,250
P044,Seth,Coleman-Lyles,25,N/A,90,DE,Illinois,1,Active,6-3,246
P045,Clelin,Ferrell,29,N/A,98,DE,Clemson,8,Active,6-4,265
P046,Max,Llewellyn,24,N/A,57,DE,Iowa,0,Active,6-5,263
P047,Rodney,McGraw,24,N/A,59,DE,Western Michigan,0,Active,6-4,264
P048,Zeek,Biggers,22,N/A,93,DT,Georgia Tech,2,Active,6-6,319
P049,Matthew,Butler,27,N/A,91,DT,Tennessee,4,Active,6-3,305
P050,Keith,Cooper Jr.,23,N/A,97,DT,Houston,1,Active,6-5,280
P051,Kenneth,Grant,22,N/A,78,DT,Michigan,2,Active,6-3,335
P052,Alex,Huntley,24,N/A,96,DT,South Carolina,1,Active,6-4,298
P053,Fatorma,Mulbah,23,N/A,95,DT,West Virginia,1,Active,6-4,314
P054,Jordan,Phillips,22,N/A,94,DT,Maryland,2,Active,6-3,305
P055,Cam,Rice,22,N/A,58,DT,Maryland,0,Active,6-2,303
P056,Zach,Sieler,30,N/A,92,DT,Ferris State,9,Active,6-6,300
