key,value
Team Name,Minnesota Vikings
City,"Minneapolis, Minnesota"
Home Stadium,U.S. Bank Stadium
Founded,1961
Conference,NFC
Division,North
Owner,Zygi Wilf (Chairman)
President,Mark Wilf
General Manager,Nolan Teasley
Head Coach,Kevin O'Connell
Primary Colors,"Purple, Gold"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
