id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Hunter,Dekkers,25,N/A,13,QB,Iowa Western,1,Active,6-3,215
P002,Spencer,Rattler,25,N/A,2,QB,South Carolina,3,Active,6-0,211
P003,Tyler,Shough,26,N/A,6,QB,Louisville,2,Active,6-5,219
P004,Zach,Wilson,27,N/A,4,QB,BYU,6,Active,6-2,214
P005,CJ,Donaldson,22,N/A,43,RB,Ohio State,0,Active,6-1,230
P006,Audric,Estime,22,N/A,30,RB,Notre Dame,3,Active,5-11,227
P007,Travis,Etienne Jr.,27,N/A,3,RB,Clemson,6,Active,5-10,215
P008,Alvin,Kamara,31,N/A,41,RB,Tennessee,10,Active,5-10,215
P009,Kendre,Miller,24,N/A,5,RB,TCU,4,Active,6-0,220
P010,Devin,Neal,23,N/A,24,RB,Kansas,2,Active,5-11,213
P011,Zamir,White,26,N/A,33,RB,Georgia,5,Active,6-0,227
P012,Kevin,Austin Jr.,26,N/A,81,WR,Notre Dame,3,Active,6-2,200
P013,Ronnie,Bell,26,N/A,11,WR,Michigan,3,Active,6-0,192
P014,Barion,Brown,22,N/A,19,WR,LSU,0,Active,5-11,177
P015,Bryce,Lance,24,N/A,18,WR,North Dakota State,0,Active,6-3,204
P016,Bub,Means,25,N/A,16,WR,Pittsburgh,3,Active,6-2,215
P017,Jalen,Moreno-Cropper,25,N/A,85,WR,Fresno State,1,Active,6-0,172
P018,Chris,Olave,26,N/A,12,WR,Ohio State,5,Active,6-0,187
P019,Trey,Palmer,25,N/A,10,WR,Nebraska,4,Active,6-1,190
P020,Brock,Rechsteiner,24,N/A,89,WR,Jacksonville State,0,Active,6-2,225
P021,Jordyn,Tyson,22,N/A,0,WR,Arizona State,0,Active,6-2,203
P022,Devaughn,Vele,28,N/A,14,WR,Utah,3,Active,6-5,210
P023,Oscar,Delp,23,N/A,88,TE,Georgia,0,Active,6-4,245
P024,Noah,Fant,28,N/A,87,TE,Iowa,8,Active,6-4,249
P025,Cody,Hardy,22,N/A,86,TE,NC State,0,Active,6-5,271
P026,Juwan,Johnson,29,N/A,83,TE,Oregon,7,Active,6-4,231
P027,Zaire,Mitchell-Paden,27,N/A,84,TE,Florida Atlantic,2,Active,6-5,257
P028,Treyton,Welch,25,N/A,82,TE,Wyoming,1,Active,6-4,240
P029,Erik,McCoy,29,N/A,78,C,Texas A&M,8,Active,6-4,303
P030,David,Edwards,29,N/A,76,OG,Wisconsin,8,Active,6-6,308
P031,Cesar,Ruiz,27,N/A,51,OG,Michigan,7,Active,6-4,316
P032,William,Sherman,27,N/A,66,OG,Colorado,2,Active,6-4,300
P033,Torricelli,Simpkins III,24,N/A,68,OG,South Carolina,2,Active,6-5,312
P034,Jeremiah,Wright,24,N/A,65,OG,Auburn,0,Active,6-5,331
P035,Kelvin,Banks Jr.,22,N/A,71,OT,Texas,2,Active,6-5,315
P036,Taliese,Fuaga,24,N/A,75,OT,Oregon State,3,Active,6-6,324
P037,Alan,Herron,23,N/A,70,OT,Maryland,0,Active,6-3,308
P038,Easton,Kilty,24,N/A,73,OT,Kansas State,1,Active,6-6,307
