id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,John,Harbaugh,63,N/A,Head Coach,Administration,1,28
C002,Chris,Horton,41,N/A,Assistant Head Coach/Special Teams Coordinator,Special Teams,1,13
C003,Matt,Nagy,48,N/A,Offensive Coordinator,Offense,1,18
C004,Dennard,Wilson,43,N/A,Defensive Coordinator,Defense,1,15
C005,Mike,Bloomgren,50,N/A,Offensive Line Coach,Offense,1,24
C006,Brian,Callahan,42,N/A,Passing Game Coordinator/Quarterbacks Coach,Offense,1,19
C007,Chad,Hall,40,N/A,Wide Receivers Coach,Offense,1,10
C008,Tim,Kelly,44,N/A,Tight Ends Coach,Offense,1,14
C009,Grant,Newsome,32,N/A,Assistant Offensive Line Coach,Offense,1,5
C010,Noah,Riley,29,N/A,Football Analyst/Quality Control,Offense,1,5
C011,Greg,Roman,55,N/A,Senior Offensive Assistant,Offense,1,28
C012,Adam,Schrack,30,N/A,Offensive Quality Control,Offense,1,6
C013,Mike,Snyder,29,N/A,Offensive Quality Control,Offense,1,5
C014,Willie,Taggart,50,N/A,Running Backs Coach,Offense,1,22
C015,Charlie,Bullen,45,N/A,Run Game Coordinator/Outside Linebackers Coach,Defense,1,15
C016,Frank,Bush,63,N/A,Inside Linebackers Coach,Defense,1,30
C017,Brendan,Clark,30,N/A,Defensive Quality Control,Defense,1,6
C018,Donald,D'Alesio,42,N/A,Defensive Pass Coordinator/Secondary Coach,Defense,1,15
C019,Dennis,Johnson,55,N/A,Defensive Line Coach,Defense,1,25
C020,Addison,Lynch,34,N/A,Defensive Backs Coach,Defense,1,9
C021,Matt,Pees,33,N/A,Assistant Linebackers Coach,Defense,1,8
C022,Megan,Rosburg,30,N/A,Assistant to the Head Coach/Defensive Assistant,Defense,1,5
C023,T.J.,Weist,56,N/A,Assistant Special Teams Coach,Special Teams,1,28
C024,Aaron,Wellman,52,N/A,Senior Assistant - Strength & Conditioning,Strength & Conditioning,1,25
C025,Sam,Rosengarten,40,N/A,Director of High Performance,Strength & Conditioning,1,12
C026,Ron,Shrift,45,N/A,Director of Strength & Conditioning,Strength & Conditioning,1,18
C027,Chris,Allen,33,N/A,Assistant Strength & Conditioning Coach,Strength & Conditioning,1,8
C028,Sam,Coad,31,N/A,Assistant Strength & Conditioning Coach/Performance Manager,Strength & Conditioning,1,7
C029,Brian,Ellis,30,N/A,Assistant Strength Coach,Strength & Conditioning,1,6
C030,Matthew,Frakes,35,N/A,Director of Performance Nutrition,Strength & Conditioning,1,9
C031,Mark,Naylor,32,N/A,Assistant Strength & Conditioning Coach,Strength & Conditioning,1,7
C032,Drew,Wilson,31,N/A,Assistant Director of Strength & Conditioning,Strength & Conditioning,1,6
C033,Bonner,Bordelon,27,N/A,Football Analyst,Administration,1,4
C034,Taylor,Kolste,28,N/A,Football Analyst,Administration,1,5
C035,Kyrell,Michael,26,N/A,Football Analyst,Administration,1,3
C036,Skyler,Mornhinweg,28,N/A,Football Analyst,Administration,1,5
C037,Patrick,Moynahan,27,N/A,Football Analyst,Administration,1,4
