id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Brandon,Allen,33,N/A,12,QB,Arkansas,10,Active,6-2,219
P002,Jaxson,Dart,23,N/A,6,QB,Ole Miss,2,Active,6-2,223
P003,Jake,Haener,27,N/A,2,QB,Fresno State,3,Active,6-1,200
P004,Jameis,Winston,32,N/A,19,QB,Florida State,12,Active,6-4,231
P005,Damon,Bankston,23,N/A,37,RB,New Mexico,0,Active,5-10,186
P006,Eric,Gray,26,N/A,20,RB,Oklahoma,4,Active,5-10,211
P007,Najee,Harris,28,N/A,22,RB,Alabama,6,Active,6-1,232
P008,Devin,Singletary,28,N/A,26,RB,Florida Atlantic,8,Active,5-7,203
P009,Cam,Skattebo,24,N/A,44,RB,Arizona State,2,Active,5-11,215
P010,Tyrone,Tracy Jr.,26,N/A,29,RB,Purdue,3,Active,5-11,210
P011,Grant,Finley,23,N/A,47,FB,Missouri Western,0,Active,6-4,281
P012,Patrick,Ricard,32,N/A,45,FB,Maine,10,Active,6-3,300
P013,Odell,Beckham Jr.,33,N/A,3,WR,LSU,11,Active,5-11,198
P014,Braxton,Berrios,30,N/A,87,WR,Miami,9,Active,5-9,190
P015,Dalen,Cambre,25,N/A,83,WR,Louisiana,2,Active,6-0,192
P016,Malachi,Fields,23,N/A,0,WR,Notre Dame,0,Active,6-4,222
P017,Xavier,Gipson,25,N/A,88,WR,Stephen F. Austin,4,Active,5-9,189
P018,Isaiah,Hodgins,27,N/A,89,WR,Oregon State,5,Active,6-3,200
P019,Jalin,Hyatt,24,N/A,13,WR,Tennessee,4,Active,6-0,185
P020,Darnell,Mooney,28,N/A,17,WR,Tulane,7,Active,5-11,177
P021,Malik,Nabers,23,N/A,1,WR,LSU,3,Active,6-0,200
P022,Kobe,Prentice,22,N/A,81,WR,Baylor,0,Active,5-10,184
P023,Darius,Slayton,29,N/A,18,WR,Auburn,8,Active,6-1,198
P024,Tanner,Conner,28,N/A,48,TE,Idaho State,4,Active,6-3,232
P025,Josiah,Deguara,29,N/A,46,TE,Cincinnati,6,Active,6-2,238
P026,Thomas,Fidone II,23,N/A,86,TE,Nebraska,2,Active,6-6,255
P027,Theo,Johnson,25,N/A,84,TE,Penn State,3,Active,6-6,264
P028,Isaiah,Likely,26,N/A,9,TE,Coastal Carolina,5,Active,6-4,241
P029,Chris,Manhertz,34,N/A,85,TE,Canisius,11,Active,6-6,235
