id,firstName,lastName,age,hometown,title,unit,yearsWithTeam,yearsExperienceTotal
C001,Aaron,Glenn,44,N/A,Head Coach,Administration,2,9
C002,Frank,Reich,64,N/A,Offensive Coordinator,Offense,1,25
C003,Brian,Duker,39,N/A,Defensive Coordinator,Defense,2,12
C004,Chris,Banjo,35,N/A,Special Teams Coordinator,Special Teams,2,4
C005,Bill,Musgrave,58,N/A,Quarterbacks Coach,Offense,2,28
C006,Shawn,Jefferson,57,N/A,Wide Receivers Coach,Offense,3,22
C007,Junior,Taylor,34,N/A,Assistant Wide Receivers Coach,Offense,2,8
C008,Alfredo,Roberts,60,N/A,Tight Ends Coach,Offense,3,25
C009,Nic,McKissic,36,N/A,Running Backs Coach,Offense,2,9
C010,Steve,Heiden,50,N/A,Offensive Line Coach,Offense,2,15
C011,Brian,Natkin,32,N/A,Assistant Offensive Line Coach,Offense,2,7
C012,Al,Netter,30,N/A,Assistant Offensive Line Coach,Offense,1,5
C013,Thomas,Merkle,28,N/A,Offensive Assistant/Assistant Quarterbacks Coach,Offense,2,4
C014,Matthew,Sargent,27,N/A,Offensive Assistant,Offense,1,3
C015,Karl,Dunbar,61,N/A,Defensive Line Coach,Defense,2,25
C016,Cameron,Davis,33,N/A,Assistant Defensive Line/Outside Linebackers Coach,Defense,2,7
C017,Ben,Bolling,38,N/A,Linebackers Coach,Defense,2,12
C018,Nathaniel,Willingham,30,N/A,Assistant Linebackers Coach,Defense,1,5
C019,Ryan,Slowik,34,N/A,Safeties Coach,Defense,2,9
C020,Chris,Harris,39,N/A,Defensive Backs/Pass Game Coordinator,Defense,2,6
C021,Ronald,Booker,31,N/A,Defensive Assistant/Nickels Coach,Defense,1,5
C022,Collin,Bauer,29,N/A,Defensive Assistant,Defense,1,4
C023,Seth,Ryan,36,N/A,Pass Game Coordinator,Defense,2,10
C024,Randall,Jette,33,N/A,Special Teams Assistant,Special Teams,2,7
C025,Kevin,O'Dea,55,N/A,Special Teams Assistant,Special Teams,2,25
C026,Jon,Berger,40,N/A,Game Management,Administration,3,12
