key,value
Team Name,New York Jets
City,"East Rutherford, New Jersey"
Home Stadium,MetLife Stadium
Founded,1959
Conference,AFC
Division,East
Owner,Woody Johnson
President,Hymie Elhai
General Manager,Darren Mougey
Head Coach,Aaron Glenn
Primary Colors,"Gotham Green, White, Black"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
