id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Andy,Dalton,38,N/A,14,QB,TCU,16,Active,6-2,220
P002,Jalen,Hurts,28,N/A,1,QB,Oklahoma,7,Active,6-1,223
P003,Tanner,McKee,26,N/A,16,QB,Stanford,4,Active,6-6,231
P004,Cole,Payton,23,N/A,10,QB,North Dakota State,0,Active,6-2,232
P005,Saquon,Barkley,29,N/A,26,RB,Penn State,9,Active,6-0,233
P006,Tank,Bigsby,23,N/A,8,RB,Auburn,4,Active,5-11,215
P007,Jordan,Mims,27,N/A,41,RB,Fresno State,2,Active,6-0,205
P008,Dameon,Pierce,26,N/A,39,RB,Florida,5,Active,5-10,218
P009,Will,Shipley,24,N/A,28,RB,Clemson,3,Active,5-11,209
P010,Carson,Steele,23,N/A,34,RB,UCLA,2,Active,6-0,228
P011,Hollywood,Brown,29,N/A,0,WR,Oklahoma,8,Active,5-9,170
P012,Darius,Cooper,24,N/A,80,WR,Tarleton State,2,Active,5-11,210
P013,Britain,Covey,29,N/A,18,WR,Utah,5,Active,5-8,173
P014,Erik,Ezukanma,26,N/A,49,WR,Texas Tech,3,Active,6-2,206
P015,Danny,Gray,27,N/A,82,WR,SMU,3,Active,6-0,200
P016,Brandon,Hayes,24,N/A,47,WR,Southeastern Louisiana,0,Active,6-2,205
P017,Makai,Lemon,22,N/A,9,WR,USC,0,Active,5-11,192
P018,Elijah,Moore,26,N/A,19,WR,Ole Miss,6,Active,5-10,178
P019,DeVonta,Smith,27,N/A,6,WR,Alabama,6,Active,6-0,170
P020,Samori,Toure,28,N/A,46,WR,Nebraska,3,Active,6-1,196
P021,Tahj,Washington,25,N/A,48,WR,USC,3,Active,5-10,175
P022,Quez,Watkins,28,N/A,86,WR,Southern Miss,5,Active,6-0,193
P023,Dontayvion,Wicks,25,N/A,13,WR,Virginia,4,Active,6-1,206
P024,Grant,Calcaterra,27,N/A,81,TE,SMU,5,Active,6-4,240
P025,Dallas,Goedert,31,N/A,88,TE,South Dakota State,9,Active,6-5,256
P026,E.J.,Jenkins,27,N/A,84,TE,Georgia Tech,2,Active,6-6,245
P027,Cameron,Latu,26,N/A,36,TE,Alabama,3,Active,6-5,244
P028,Johnny,Mundt,31,N/A,83,TE,Oregon,9,Active,6-4,245
P029,Stone,Smartt,27,N/A,85,TE,Old Dominion,5,Active,6-4,226
P030,Eli,Stowers,23,N/A,87,TE,Vanderbilt,0,Active,6-3,239
P031,Zeke,Correll,25,N/A,63,C,NC State,2,Active,6-3,307
P032,Cam,Jurgens,27,N/A,51,C,Nebraska,5,Active,6-3,303
P033,Drew,Kendall,24,N/A,66,C,Boston College,2,Active,6-4,308
P034,Willie,Lampkin,24,N/A,61,C,North Carolina,2,Active,5-11,290
P035,Jake,Majors,24,N/A,75,C,Texas,1,Active,6-3,306
P036,Landon,Dickerson,27,N/A,69,OG,Alabama,6,Active,6-6,332
P037,Michael,Jordan,28,N/A,79,OG,Ohio State,7,Active,6-6,315
P038,Micah,Morris,23,N/A,76,OG,Georgia,0,Active,6-5,334
P039,Tyler,Steen,26,N/A,56,OG,Alabama,4,Active,6-6,321
P040,Markel,Bell,22,N/A,72,OT,Miami,0,Active,6-9,346
P041,Myles,Hinton,24,N/A,78,OT,Michigan,2,Active,6-6,323
P042,Fred,Johnson,29,N/A,74,OT,Florida,8,Active,6-7,326
P043,Lane,Johnson,36,N/A,65,OT,Oklahoma,14,Active,6-6,325
P044,Jordan,Mailata,29,N/A,68,OT,N/A,9,Active,6-8,365
P045,John,Ojukwu,27,N/A,67,OT,Boise State,2,Active,6-5,309
P046,Cameron,Williams,22,N/A,73,OT,Texas,2,Active,6-5,317
P047,Uar,Bernard,21,N/A,93,DT,N/A,0,Active,6-4,306
P048,David,Blay Jr.,23,N/A,64,DT,Miami,0,Active,6-2,292
P049,Jalen,Carter,25,N/A,98,DT,Georgia,4,Active,6-3,314
P050,Jordan,Davis,26,N/A,90,DT,Georgia,5,Active,6-6,336
P051,Gabe,Hall,25,N/A,96,DT,Baylor,1,Active,6-6,295
P052,Moro,Ojomo,25,N/A,97,DT,Texas,4,Active,6-3,292
P053,Ty,Robinson,25,N/A,95,DT,Nebraska,2,Active,6-5,288
P054,Zion,Wilson,23,N/A,78,DT,East Carolina,0,Active,6-3,316
P055,Byron,Young,25,N/A,94,DT,Alabama,4,Active,6-3,292
P056,AJ,Epenesa,27,N/A,57,DE,Iowa,7,Active,6-6,280
P057,Zack,Baun,29,N/A,53,LB,Wisconsin,7,Active,6-3,225
P058,Chance,Campbell,26,N/A,59,LB,Ole Miss,4,Active,6-2,232
P059,Jihaad,Campbell,22,N/A,11,LB,Alabama,2,Active,6-3,235
P060,Arnold,Ebiketie,27,N/A,17,LB,Penn State,5,Active,6-3,256
P061,Brandon,George,25,N/A,45,LB,Pittsburgh,2,Active,6-3,240
P062,Jalyx,Hunt,25,N/A,58,LB,Houston Christian,3,Active,6-3,252
P063,Tarron,Jackson,28,N/A,77,LB,Coastal Carolina,4,Active,6-2,254
P064,Keyshawn,James-Newby,24,N/A,50,LB,New Mexico,0,Active,6-1,240
P065,Deontae,Lawson,23,N/A,47,LB,Alabama,0,Active,6-3,226
P066,Smael,Mondon Jr.,23,N/A,42,LB,Georgia,2,Active,6-2,224
P067,Jose,Ramirez,27,N/A,43,LB,Eastern Michigan,1,Active,6-2,252
P068,Nolan,Smith Jr.,25,N/A,3,LB,Georgia,4,Active,6-2,238
P069,Jeremiah,Trotter Jr.,23,N/A,54,LB,Clemson,3,Active,6-0,225
P070,Joshua,Weru,22,N/A,46,LB,Arizona State,0,Active,6-4,244
P071,Jakorian,Bennett,26,N/A,23,CB,Maryland,4,Active,5-10,200
P072,Isaiah,Bolden,26,N/A,49,CB,Jackson State,3,Active,6-2,205
P073,Michael,Carter II,27,N/A,35,CB,Duke,6,Active,5-10,184
P074,Cooper,DeJean,23,N/A,33,CB,Iowa,3,Active,6-0,198
P075,Kapena,Gushiken,24,N/A,34,CB,Ole Miss,0,Active,5-9,189
P076,Jonathan,Jones,32,N/A,32,CB,Auburn,11,Active,5-10,190
P077,Mac,McWilliams,24,N/A,22,CB,UCF,2,Active,5-10,191
P078,Quinyon,Mitchell,25,N/A,27,CB,Toledo,3,Active,6-0,193
P079,Kelee,Ringo,24,N/A,7,CB,Georgia,4,Active,6-2,207
P080,Ambry,Thomas,26,N/A,38,CB,Michigan,5,Active,6-0,190
P081,Shaun,Wade,27,N/A,30,CB,Ohio State,4,Active,6-1,191
P082,Riq,Woolen,27,N/A,2,CB,UTSA,5,Active,6-4,210
P083,Marcus,Epps,30,N/A,29,S,Wyoming,8,Active,6-0,198
