id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Art,Rooney II,73,N/A,Ownership,President/Owner,38
S002,Arthur,Rooney Jr.,90,N/A,Front Office/Executive,Vice President,65
S003,Omar,Khan,49,N/A,Football Operations,General Manager,20
S004,Dan,Rooney Jr.,50,N/A,Scouting,Vice President of Player Personnel,25
S005,Andy,Weidl,48,N/A,Football Operations,Assistant General Manager,5
S006,Sheldon,White,58,N/A,Scouting,Senior Personnel Executive,10
S007,David,Morehouse,58,N/A,Business Operations,Executive Vice President for Strategy,15
S008,Jim,Sacco,55,N/A,Stadium Operations,Senior Vice President of Stadium Operations & Management,20
S009,Gabe,Amponsah,45,N/A,Medical/Athletic Training,Head Athletic Trainer,10
S010,Chris,Dountas,48,N/A,Equipment,Head Equipment Manager,15
S011,Burt,Lauten,50,N/A,Media Relations,Senior Director of Communications,20
S012,Doug,Stuver,50,N/A,Business Operations,Vice President of Finance,15
S013,Scott,Phelps,45,N/A,Business Operations,Vice President of Technology,12
S014,Ryan,Huzjak,48,N/A,Business Operations,Senior Vice President of Business Operations,15
S015,Melanie,Harris,40,N/A,Analytics,Senior Director of Business Analytics,8
S016,Jenny,Shaeffer,45,N/A,Human Resources,Director of Human Resources,12
S017,Max,Gruder,38,N/A,Scouting,Director of Pro Personnel,8
S018,Tim,Gribble,45,N/A,Scouting,Senior Director of College Personnel,15
S019,Patrick,MacIntyre,45,N/A,Security,Security Supervisor,10
S020,Cole,Marcoux,35,N/A,Football Operations,Senior Director of Football Strategy and Administration,8
