key,value
Team Name,Pittsburgh Steelers
City,"Pittsburgh, Pennsylvania"
Home Stadium,Acrisure Stadium
Founded,1933
Conference,AFC
Division,North
Owner,Art Rooney II
President,Art Rooney II
General Manager,Omar Khan
Head Coach,Mike McCarthy
Primary Colors,"Black, Gold"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from steelers.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against steelers.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
