id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Jah,Joyner,25,N/A,96,DE,Minnesota,0,Active,6-4,262
P002,Deion,Jones,31,N/A,50,LB,LSU,10,Active,6-1,222
P003,Viliami,Fehoko Jr.,26,N/A,61,DE,San Jose State,2,Active,6-4,267
P004,Doug,Kramer Jr.,28,N/A,58,C,Illinois,4,Active,6-2,300
P005,Ogbo,Okoronkwo,31,N/A,59,LB,Oklahoma,9,Active,6-2,253
P006,KhaDarel,Hodge,32,N/A,86,WR,Prairie View A&M,9,Active,6-2,210
P007,Khalil,Herbert,28,N/A,40,RB,Virginia Tech,6,Active,5-9,212
P008,Deebo,Samuel Sr.,30,N/A,19,WR,South Carolina,8,Active,6-0,215
P009,Trenton,Irwin,30,N/A,82,WR,Stanford,6,Active,6-2,204
P010,Quinton,Bell,30,N/A,58,DE,Prairie View A&M,5,Active,6-4,258
P011,Ashtyn,Davis,29,N/A,29,S,California,7,Active,6-1,205
P012,Larry,Worth III,21,N/A,47,LB,Arkansas,0,Active,6-4,220
P013,James,Thompson Jr.,23,N/A,75,DT,Illinois,0,Active,6-6,308
P014,Jalen,Stroman,23,N/A,38,S,Notre Dame,0,Active,6-0,203
P015,Will,Pauling,23,N/A,84,WR,Notre Dame,0,Active,5-9,183
P016,Bryson,Eason,24,N/A,67,DT,Tennessee,0,Active,6-2,323
P017,Wesley,Grimes,22,N/A,18,WR,N.C. State,0,Active,6-2,194
P018,Khalil,Dinkins,24,N/A,43,TE,Penn State,0,Active,6-4,226
P019,Patrick,McMorris,24,N/A,24,S,California,3,Active,6-0,206
P020,Sincere,McCormick,25,N/A,35,RB,UTSA,3,Active,5-8,204
P021,Enrique,Cruz Jr.,23,N/A,69,OT,Kansas,0,Active,6-5,313
P022,Jaden,Dugger,22,N/A,53,LB,Louisiana,0,Active,6-5,242
P023,Ephesians,Prysock,23,N/A,35,CB,Washington,0,Active,6-3,196
P024,Carver,Willis,24,N/A,74,OT,Washington,0,Active,6-5,303
P025,Gracen,Halton,22,N/A,93,DT,Oklahoma,0,Active,6-2,293
P026,Kaelon,Black,24,N/A,26,RB,Indiana,0,Active,5-10,208
P027,Romello,Height,25,N/A,94,DE,Texas Tech,0,Active,6-2,239
P028,De'Zhaun,Stribling,23,N/A,15,WR,Mississippi,0,Active,6-2,207
P029,Jack,Jones,28,N/A,25,CB,Arizona State,5,Active,5-11,175
P030,Robert,Jones,27,N/A,65,OG,Middle Tennessee,6,Active,6-4,322
