id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Elijah,Arroyo,23,N/A,18,TE,Miami,2,Active,6-5,254
P002,AJ,Barner,24,N/A,88,TE,Michigan,3,Active,6-6,251
P003,D'Anthony,Bell,29,N/A,23,S,West Florida,5,Active,6-1,211
P004,Anthony,Bradford,25,N/A,75,OG,LSU,4,Active,6-4,335
P005,Logan,Brown,25,N/A,73,OT,Kansas,1,Active,6-6,312
P006,Bryce,Cabeldue,24,N/A,77,OG,Kansas,2,Active,6-4,308
P007,Zach,Charbonnet,25,N/A,26,RB,UCLA,4,Active,6-1,220
P008,Irv,Charles,29,N/A,85,WR,Indiana (Pa.),4,Active,6-4,219
P009,Charles,Cross,25,N/A,67,OT,Mississippi State,5,Active,6-5,317
P010,Michael,Dansby,22,N/A,37,CB,Arizona,0,Active,5-11,185
P011,Sam,Darnold,29,N/A,14,QB,USC,9,Active,6-3,225
P012,Michael,Dickson,30,N/A,4,P,Texas,9,Active,6-2,208
P013,Trevon,Diggs,27,N/A,16,CB,Alabama,6,Active,6-1,203
P014,Deven,Eastern,23,N/A,97,DT,Minnesota,0,Active,6-5,320
P015,Power,Echols,23,N/A,46,LB,North Carolina,1,Active,5-11,240
P016,Nick,Emmanwori,22,N/A,3,S,South Carolina,2,Active,6-3,220
P017,AJ,Finley,24,N/A,30,S,Mississippi,4,Active,6-2,202
P018,Montorie,Foster Jr.,25,N/A,87,WR,Michigan State,1,Active,5-11,188
P019,Dante,Fowler Jr.,32,N/A,56,LB,Florida,12,Active,6-3,264
P020,Andre,Fuller,24,N/A,35,CB,Toledo,0,Active,6-1,200
P021,Jalan,Gaines,25,N/A,47,LB,Illinois State,1,Active,6-3,242
P022,Derrick,Graham,24,N/A,66,OT,Tulane,0,Active,6-4,309
P023,Derick,Hall,25,N/A,58,LB,Auburn,4,Active,6-3,260
P024,Bobby,Hart,32,N/A,68,OT,Florida State,10,Active,6-5,310
P025,Christian,Haynes,26,N/A,64,OG,Connecticut,3,Active,6-3,317
P026,Emmanuel,Henderson Jr.,23,N/A,84,WR,Kansas,0,Active,6-1,185
P027,Julian,Hicks,26,N/A,1,WR,Albany,1,Active,6-2,201
P028,George,Holani,26,N/A,36,RB,Boise State,3,Active,5-11,210
P029,Maxen,Hook,25,N/A,43,S,Toledo,1,Active,6-0,205
P030,Tory,Horton,23,N/A,15,WR,Colorado State,2,Active,6-2,196
P031,Aidan,Hubbard,23,N/A,93,LB,Northwestern,0,Active,6-4,259
P032,Noah,Igbinoghene,26,N/A,17,CB,Auburn,7,Active,5-11,197
P033,Jared,Ivey,24,N/A,51,LB,Mississippi,2,Active,6-6,274
P034,Josh,Jobe,28,N/A,29,CB,Alabama,5,Active,5-11,190
P035,Tysheem,Johnson,23,N/A,36,S,Oregon,1,Active,5-10,195
