id,firstName,lastName,age,hometown,jerseyNumber,position,college,yearsExperience,status,height,weightLbs
P001,Connor,Bazelak,25,N/A,16,QB,Bowling Green,2,Active,6-3,225
P002,Jake,Browning,30,N/A,5,QB,Washington,4,Active,6-2,209
P003,Jalon,Daniels,23,N/A,10,QB,Kansas,0,Active,6-1,219
P004,Baker,Mayfield,31,N/A,6,QB,Oklahoma,9,Active,6-1,215
P005,Kenny,Gainwell,27,N/A,1,RB,Memphis,6,Active,5-9,200
P006,Bucky,Irving,24,N/A,7,RB,Oregon,3,Active,5-10,195
P007,Barika,Kpeenu,23,N/A,49,RB,North Dakota State,0,Active,5-9,213
P008,Sean,Tucker,24,N/A,44,RB,Syracuse,4,Active,5-10,205
P009,Josh,Williams,25,N/A,18,RB,LSU,2,Active,5-9,210
P010,Emeka,Egbuka,23,N/A,2,WR,Ohio State,2,Active,6-1,205
P011,Chris,Godwin Jr.,30,N/A,14,WR,Penn State,10,Active,6-1,209
P012,Garrett,Greene,24,N/A,85,WR,West Virginia,1,Active,5-11,201
P013,Matthew,Henry,23,N/A,26,WR,Western Kentucky,0,Active,6-1,180
P014,Ted,Hurst III,22,N/A,17,WR,Georgia State,0,Active,6-3,185
P015,Jha'Quan,Jackson,26,N/A,39,WR,Tulane,2,Active,5-9,188
P016,Kameron,Johnson,24,N/A,19,WR,Barton,3,Active,5-10,170
P017,Tez,Johnson,24,N/A,15,WR,Oregon,2,Active,5-10,165
P018,Jalen,McMillan,24,N/A,11,WR,Washington,3,Active,6-1,192
P019,Dean,Patterson,24,N/A,8,WR,Georgia Tech,0,Active,6-2,200
P020,Eric,Rivers Jr.,23,N/A,83,WR,Georgia Tech,0,Active,5-10,176
P021,David,Sills V,30,N/A,80,WR,West Virginia,4,Active,6-3,211
P022,Dennis,Houston,27,N/A,89,WR,Western Illinois,1,Active,6-1,190
P023,Devin,Culp,26,N/A,82,TE,Washington,3,Active,6-4,237
P024,Payne,Durham,26,N/A,87,TE,Purdue,4,Active,6-5,255
P025,Kenny,Fletcher Jr.,22,N/A,81,TE,Rutgers,0,Active,6-3,250
