key,value
Team Name,Tennessee Titans
City,"Nashville, Tennessee"
Home Stadium,Nissan Stadium
Founded,1960
Conference,AFC
Division,South
Owner,Amy Adams Strunk
President,Burke Nihill
General Manager,Mike Borgonzi
Head Coach,Robert Saleh
Primary Colors,"Navy Blue, Titans Blue, Red, Silver"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from tennesseetitans.com and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against tennesseetitans.com before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
